hcp_id,hcp_name,city,specialty,loyalty_tier,potential_score,visits_per_month,post_visit_rx_lift_pct,priority_bucket,coverage_flag,assigned_rep_id,assigned_rep_name
36,Wishi Morar,Chandigarh,Diabetologist,Brand_Loyal,68,7.56,3.236666666666667,Priority B,Appropriately-covered,32,Gavin Batta
37,Noah Ramachandran,Mumbai,Cardiologist,Competitor_Loyal,76,2.44,-2.4858333333333333,Priority B,Appropriately-covered,94,Yash Pingle
38,Brijesh Soman,Bhubaneswar,Diabetologist,Switcher,31,5.06,6.6000000000000005,Priority D,Over-covered,88,William Lanka
39,William Gandhi,Kolkata,GP,Switcher,71,2.33,6.517272727272727,Priority B,Appropriately-covered,78,Mohammed Gupta
40,Urvi Bhavsar,Delhi,Cardiologist,Competitor_Loyal,74,2.61,-0.1016666666666671,Priority B,Appropriately-covered,1,Aryan Maharaj
41,Ekbal Bhasin,Delhi,GP,Switcher,82,2.28,-0.3666666666666662,Priority B,Appropriately-covered,6,Rushil Saini
42,Urmi Dash,Ahmedabad,Cardiologist,Switcher,22,1.44,-21.139999999999997,Priority D,Appropriately-covered,110,Shivansh Krish
43,Mohini Sagar,Delhi,Diabetologist,Competitor_Loyal,63,2.67,-4.43,Priority B,Appropriately-covered,8,Nathaniel Sami
44,Mekhala Khatri,Bangalore,GP,Competitor_Loyal,82,2.17,2.368181818181818,Priority B,Appropriately-covered,35,Upadhriti Wadhwa
45,Urishilla Saran,Kolkata,Diabetologist,Switcher,58,2.0,-2.7427272727272727,Priority D,Appropriately-covered,73,Niharika Sunder
46,Amruta Dass,Patna,Cardiologist,Competitor_Loyal,73,4.06,-4.845,Priority B,Appropriately-covered,82,Dakshesh Trivedi
47,Balhaar Ranganathan,Bangalore,GP,Competitor_Loyal,78,2.39,2.4709090909090916,Priority B,Appropriately-covered,34,Devansh Rajan
48,Ryan Goyal,Indore,GP,Brand_Loyal,43,4.33,10.705,Priority D,Over-covered,119,Udant Bajwa
49,Charvi Dara,Delhi,GP,Competitor_Loyal,64,1.56,17.319,Priority A,Appropriately-covered,3,Gagan Sami
50,Vansha Rajagopal,Hyderabad,GP,Brand_Loyal,69,2.78,4.685555555555556,Priority B,Appropriately-covered,57,Ekansh Balay
51,Aradhana Bhatia,Pune,GP,Brand_Loyal,70,4.17,-4.08625,Priority B,Appropriately-covered,107,Kala Divan
52,Chaitaly Setty,Delhi,Diabetologist,Switcher,75,2.28,12.1275,Priority B,Appropriately-covered,8,Nathaniel Sami
53,Omya Kothari,Kochi,GP,Competitor_Loyal,48,7.72,8.305000000000001,Priority D,Appropriately-covered,66,Ikbal Kothari
54,Dev Shetty,Delhi,Cardiologist,Brand_Loyal,69,2.17,5.298333333333333,Priority B,Appropriately-covered,6,Rushil Saini
55,Zinal Shanker,Hyderabad,Cardiologist,Switcher,46,2.78,0.0922222222222224,Priority D,Appropriately-covered,62,Girindra Chatterjee
56,Upma Wali,Ahmedabad,Cardiologist,Competitor_Loyal,48,2.28,-14.425714285714283,Priority D,Appropriately-covered,111,Irya Ray
57,Dominic Mukhopadhyay,Hyderabad,Diabetologist,Brand_Loyal,66,3.17,0.7122222222222226,Priority B,Appropriately-covered,59,Arya Sunder
58,Gaurang Korpal,Mumbai,Diabetologist,Competitor_Loyal,56,1.78,-0.5766666666666674,Priority D,Appropriately-covered,93,Kevin Palla
59,Gunbir Wali,Pune,GP,Switcher,36,2.06,6.807142857142857,Priority D,Appropriately-covered,107,Kala Divan
60,Charvi Dara,Jaipur,GP,Switcher,24,3.39,-0.5814285714285715,Priority D,Over-covered,23,Anamika Kanda
61,Ishaan Raju,Kolkata,Diabetologist,Switcher,78,2.83,1.212727272727273,Priority B,Appropriately-covered,71,Chandresh Zachariah
62,Advaith Chaudhari,Bangalore,Diabetologist,Competitor_Loyal,80,2.33,9.17090909090909,Priority B,Appropriately-covered,38,Radhika Dugar
63,Abhiram Kaul,Patna,Diabetologist,Competitor_Loyal,70,4.17,7.4475,Priority B,Appropriately-covered,83,Quincy Biswas
64,Aadi Chand,Kochi,GP,Brand_Loyal,63,7.72,0.7250000000000001,Priority B,Appropriately-covered,67,Ranveer Yadav
65,Vamakshi Pillai,Indore,Diabetologist,Competitor_Loyal,36,4.44,3.002500000000001,Priority D,Over-covered,120,Mohini Narasimhan
66,Ubika Devi,Pune,GP,Switcher,37,1.89,17.91125,Priority C,Appropriately-covered,105,Prisha Andra
67,Maya Narain,Chennai,Diabetologist,Switcher,52,1.83,-0.3810000000000005,Priority D,Appropriately-covered,51,Devika Rastogi
68,Sarthak Buch,Ahmedabad,Diabetologist,Brand_Loyal,41,2.44,2.9528571428571433,Priority D,Appropriately-covered,114,Gaurangi Sabharwal
69,Upkaar Virk,Delhi,Diabetologist,Switcher,78,2.22,8.075000000000001,Priority B,Appropriately-covered,5,Viraj Tiwari
70,Matthew Chatterjee,Hyderabad,Cardiologist,Brand_Loyal,74,2.5,4.845555555555555,Priority B,Appropriately-covered,57,Ekansh Balay
71,Falan Jain,Chennai,Cardiologist,Switcher,49,2.06,5.565555555555556,Priority D,Appropriately-covered,48,Kabir Soman
72,Jeet Pillai,Jaipur,Cardiologist,Brand_Loyal,57,4.78,-4.531428571428571,Priority D,Appropriately-covered,22,Nihal Shere
73,Ekansh Sane,Mumbai,Diabetologist,Switcher,76,1.67,-4.5249999999999995,Priority B,Under-covered,98,Hredhaan Dugal
74,Yasti Borde,Hyderabad,Cardiologist,Switcher,47,2.39,19.835555555555555,Priority C,Appropriately-covered,60,Kevin Solanki
75,Zashil Butala,Chennai,Diabetologist,Switcher,51,1.61,7.293000000000001,Priority D,Appropriately-covered,50,Siddharth Zacharia
76,Gauri Bumb,Lucknow,GP,Brand_Loyal,69,5.22,3.00125,Priority B,Appropriately-covered,16,Chakradev Kari
77,Sanaya Thaman,Mumbai,Diabetologist,Switcher,48,1.83,10.4925,Priority D,Appropriately-covered,98,Hredhaan Dugal
78,Yachana Sagar,Chennai,GP,Switcher,35,1.39,-5.437777777777778,Priority D,Appropriately-covered,46,Farhan Chada
79,Jalsa Bir,Jaipur,Diabetologist,Switcher,40,3.78,-2.54,Priority D,Over-covered,25,Diya Rattan
80,Nitara Iyengar,Pune,Cardiologist,Switcher,54,3.39,1.7825000000000002,Priority D,Appropriately-covered,106,Faqid Dixit
81,Faqid Kibe,Delhi,Cardiologist,Brand_Loyal,79,2.56,6.476666666666667,Priority B,Appropriately-covered,8,Nathaniel Sami
82,Champak Rao,Kolkata,GP,Competitor_Loyal,48,2.06,-7.336363636363637,Priority D,Appropriately-covered,72,Girik Khalsa
83,Yutika D’Alia,Pune,Diabetologist,Switcher,20,1.61,13.312857142857142,Priority D,Appropriately-covered,105,Prisha Andra
84,Suhani Chana,Mumbai,Diabetologist,Brand_Loyal,84,2.17,-2.050833333333333,Priority B,Appropriately-covered,96,Abhiram Mistry
85,Yachana Luthra,Mumbai,GP,Competitor_Loyal,58,1.83,-7.194166666666665,Priority D,Appropriately-covered,93,Kevin Palla
86,Meera Divan,Mumbai,GP,Competitor_Loyal,63,1.67,13.571666666666667,Priority B,Appropriately-covered,93,Kevin Palla
87,Anika Virk,Pune,GP,Brand_Loyal,53,2.0,-0.4700000000000002,Priority D,Appropriately-covered,106,Faqid Dixit
88,Azad Choudhary,Bangalore,Diabetologist,Switcher,39,1.39,19.848888888888887,Priority C,Appropriately-covered,37,Harini Choudhury
89,Christopher Amble,Lucknow,Diabetologist,Switcher,53,4.44,-6.69375,Priority D,Appropriately-covered,20,Isha Kadakia
90,Keya Goyal,Pune,GP,Switcher,17,1.5,37.98285714285714,Priority C,Appropriately-covered,103,Aarush Nath
91,Odika Ganesh,Patna,GP,Brand_Loyal,69,4.28,0.5150000000000001,Priority B,Appropriately-covered,81,Vansha Thakkar
92,Frado Lad,Chennai,Cardiologist,Switcher,50,2.33,-2.0600000000000005,Priority D,Appropriately-covered,48,Kabir Soman
93,Hritik Kaur,Delhi,Diabetologist,Switcher,60,1.89,1.8118181818181816,Priority B,Appropriately-covered,6,Rushil Saini
94,Harinakshi Kant,Lucknow,Cardiologist,Brand_Loyal,86,5.17,5.61,Priority B,Appropriately-covered,18,Lajita Mall
95,Ira Mane,Ahmedabad,Diabetologist,Switcher,51,2.61,-7.167142857142857,Priority D,Appropriately-covered,113,Nitara Bakshi
96,Nimrat Sathe,Mumbai,Cardiologist,Brand_Loyal,81,2.0,-4.222307692307693,Priority B,Appropriately-covered,92,Tanay Toor
97,Amrita Tailor,Bangalore,Cardiologist,Competitor_Loyal,75,1.72,9.364,Priority B,Under-covered,43,Ekiya Suresh
98,Anirudh Mander,Kolkata,GP,Switcher,65,2.11,-4.47,Priority B,Appropriately-covered,79,Teerth Bhardwaj
99,Aradhana Nair,Hyderabad,Cardiologist,Brand_Loyal,36,2.56,11.231111111111112,Priority D,Appropriately-covered,56,Ekavir Bhargava
100,Janaki Srivastava,Ahmedabad,GP,Switcher,38,2.5,-2.9414285714285717,Priority D,Appropriately-covered,113,Nitara Bakshi
101,Nakul Pathak,Kolkata,Cardiologist,Brand_Loyal,90,2.78,1.2863636363636366,Priority B,Appropriately-covered,73,Niharika Sunder
102,Advika Misra,Hyderabad,GP,Switcher,61,3.72,-1.0344444444444447,Priority B,Appropriately-covered,55,Victor Kannan
103,Jeremiah Mitter,Chandigarh,Diabetologist,Switcher,44,9.11,0.9816666666666668,Priority D,Over-covered,30,Priya Rastogi
104,Hemangini Gade,Hyderabad,Cardiologist,Switcher,50,2.33,17.776666666666667,Priority C,Appropriately-covered,56,Ekavir Bhargava
105,Siya Thakur,Delhi,Cardiologist,Switcher,45,1.72,0.5163636363636364,Priority D,Appropriately-covered,2,Udant Dewan
106,Garima Prabhu,Hyderabad,Diabetologist,Brand_Loyal,73,2.67,2.2511111111111113,Priority B,Appropriately-covered,56,Ekavir Bhargava
107,Garima Chandran,Bangalore,GP,Brand_Loyal,61,1.61,6.582727272727272,Priority B,Appropriately-covered,41,Yashica Issac
108,Gopal Pradhan,Delhi,Diabetologist,Brand_Loyal,68,2.11,12.720833333333331,Priority B,Appropriately-covered,7,Saumya Mall
109,Manthan Khosla,Bangalore,Cardiologist,Competitor_Loyal,68,2.17,1.7909090909090906,Priority B,Appropriately-covered,41,Yashica Issac
110,Devansh Bhasin,Bangalore,Cardiologist,Switcher,82,2.22,5.025454545454545,Priority B,Appropriately-covered,41,Yashica Issac
111,Gabriel Chaudhry,Chennai,Cardiologist,Switcher,57,1.83,17.973,Priority C,Appropriately-covered,47,Ekapad Walia
112,Ekalinga Jayaraman,Ahmedabad,Cardiologist,Switcher,54,3.17,4.725714285714285,Priority D,Appropriately-covered,112,Warjas Gaba
113,Dayamai Karnik,Patna,GP,Switcher,38,2.83,5.96,Priority D,Appropriately-covered,83,Quincy Biswas
114,Jai Mahal,Pune,Diabetologist,Competitor_Loyal,37,2.5,4.835,Priority D,Appropriately-covered,104,Adweta Edwin
115,Tanay Sood,Chennai,GP,Competitor_Loyal,60,1.5,28.425,Priority A,Appropriately-covered,49,Alka Wable
116,Champak Narula,Jaipur,Diabetologist,Competitor_Loyal,51,4.61,8.719999999999999,Priority D,Appropriately-covered,21,Ekbal Garg
117,Oliver Bhattacharyya,Hyderabad,Cardiologist,Brand_Loyal,48,3.17,-2.1733333333333333,Priority D,Appropriately-covered,62,Girindra Chatterjee
118,Gabriel Majumdar,Kolkata,Diabetologist,Brand_Loyal,82,2.44,-6.664545454545455,Priority B,Appropriately-covered,70,Faqid Savant
119,Libni Bumb,Jaipur,Diabetologist,Competitor_Loyal,74,5.61,-2.128571428571429,Priority B,Appropriately-covered,22,Nihal Shere
120,Lajita Munshi,Mumbai,Diabetologist,Competitor_Loyal,82,2.44,4.05076923076923,Priority B,Appropriately-covered,95,Nakul Sarma
121,Samaksh Virk,Kolkata,Cardiologist,Brand_Loyal,72,2.44,-2.147272727272728,Priority B,Appropriately-covered,73,Niharika Sunder
122,Jatin Peri,Hyderabad,Cardiologist,Switcher,41,2.28,-5.058888888888889,Priority D,Appropriately-covered,59,Arya Sunder
123,Rishi Contractor,Kolkata,GP,Brand_Loyal,43,1.83,-3.1199999999999988,Priority D,Appropriately-covered,70,Faqid Savant
124,Hiral Sathe,Bangalore,Diabetologist,Competitor_Loyal,65,2.39,4.650909090909091,Priority B,Appropriately-covered,38,Radhika Dugar
125,Brijesh Pandit,Jaipur,Diabetologist,Switcher,55,4.17,6.2542857142857144,Priority D,Appropriately-covered,25,Diya Rattan
126,Lakshmi Ram,Kolkata,GP,Brand_Loyal,72,2.39,-2.787,Priority B,Appropriately-covered,74,Tanay Rattan
127,Jasmit Dhawan,Bangalore,Cardiologist,Competitor_Loyal,64,1.61,-9.875555555555556,Priority B,Appropriately-covered,36,Advay Contractor
128,Kalpit Oak,Chennai,Diabetologist,Competitor_Loyal,60,2.33,5.782,Priority B,Appropriately-covered,45,Wriddhish Bhardwaj
129,Nisha Khare,Pune,GP,Brand_Loyal,37,2.33,-6.6675,Priority D,Appropriately-covered,108,Joshua Barman
130,Aarav Pandit,Jaipur,GP,Switcher,59,4.33,-0.7099999999999999,Priority D,Appropriately-covered,21,Ekbal Garg
131,Aahana Bawa,Mumbai,Diabetologist,Brand_Loyal,82,2.33,5.48,Priority B,Appropriately-covered,92,Tanay Toor
132,Hemal Choudhry,Mumbai,GP,Competitor_Loyal,93,2.94,11.527499999999998,Priority B,Appropriately-covered,97,Krish Lalla
133,Tara Parmar,Chennai,Diabetologist,Switcher,65,2.17,-2.309,Priority B,Appropriately-covered,54,Devansh Nigam
134,Vanya Dua,Bangalore,GP,Switcher,69,1.94,1.5309090909090912,Priority B,Appropriately-covered,34,Devansh Rajan
135,Pushti Magar,Chennai,Diabetologist,Switcher,53,2.28,-8.421,Priority D,Appropriately-covered,47,Ekapad Walia
136,Victor Sachdeva,Kolkata,Diabetologist,Competitor_Loyal,66,2.22,1.1299999999999997,Priority B,Appropriately-covered,70,Faqid Savant
137,Devika Dayal,Hyderabad,GP,Competitor_Loyal,52,2.44,13.474444444444446,Priority D,Appropriately-covered,61,Urvashi Ray
138,Varsha Mody,Pune,Diabetologist,Brand_Loyal,49,2.56,2.4375,Priority D,Appropriately-covered,107,Kala Divan
139,Qasim Sarraf,Indore,Diabetologist,Brand_Loyal,51,5.39,0.4625,Priority D,Appropriately-covered,119,Udant Bajwa
140,Yatan Venkataraman,Mumbai,GP,Switcher,81,2.0,-1.0823076923076924,Priority B,Appropriately-covered,89,Karan Mital
141,Abhiram Arora,Kolkata,Diabetologist,Competitor_Loyal,72,2.44,6.991818181818181,Priority B,Appropriately-covered,70,Faqid Savant
142,Ekansh Singh,Lucknow,Cardiologist,Competitor_Loyal,55,4.56,4.641249999999999,Priority D,Appropriately-covered,16,Chakradev Kari
143,Darsh Chana,Mumbai,Diabetologist,Switcher,59,1.44,14.995,Priority D,Appropriately-covered,97,Krish Lalla
144,Jalsa Mani,Indore,GP,Brand_Loyal,59,5.56,5.465,Priority D,Appropriately-covered,119,Udant Bajwa
145,Aarush Kulkarni,Mumbai,Diabetologist,Competitor_Loyal,53,1.44,-0.1516666666666661,Priority D,Appropriately-covered,90,Diya Bora
146,Kashvi Sagar,Bangalore,Diabetologist,Brand_Loyal,80,1.44,0.4022222222222227,Priority B,Under-covered,36,Advay Contractor
147,Veda Bose,Bangalore,GP,Brand_Loyal,59,1.83,7.455,Priority D,Appropriately-covered,41,Yashica Issac
148,Faras Nair,Mumbai,Diabetologist,Switcher,62,1.89,-0.5891666666666667,Priority B,Appropriately-covered,99,Baghyawati Kade
149,Karan Aurora,Delhi,GP,Competitor_Loyal,81,1.78,1.6016666666666672,Priority B,Under-covered,9,Arunima Dugal
150,Barkha Setty,Delhi,GP,Switcher,69,3.06,-6.433,Priority B,Appropriately-covered,4,Ayushman Chander
151,Ojas Ranganathan,Patna,GP,Competitor_Loyal,40,3.0,6.6375,Priority D,Over-covered,83,Quincy Biswas
152,Oni Chowdhury,Hyderabad,Diabetologist,Brand_Loyal,99,3.83,11.135555555555555,Priority B,Appropriately-covered,56,Ekavir Bhargava
153,Ladli Purohit,Bangalore,GP,Switcher,56,2.11,7.208181818181817,Priority D,Appropriately-covered,37,Harini Choudhury
154,Yauvani Dhar,Kolkata,GP,Brand_Loyal,74,1.72,-0.9163636363636362,Priority B,Under-covered,71,Chandresh Zachariah
155,Chavvi Maharaj,Lucknow,Cardiologist,Switcher,69,4.94,4.4075,Priority B,Appropriately-covered,13,Tripti Yadav
156,Ijaya Rege,Delhi,Cardiologist,Switcher,44,1.67,31.578333333333333,Priority C,Appropriately-covered,6,Rushil Saini
157,Ladli Karpe,Bangalore,Cardiologist,Brand_Loyal,69,1.83,2.549090909090909,Priority B,Appropriately-covered,36,Advay Contractor
158,Joshua Menon,Mumbai,GP,Competitor_Loyal,38,1.44,0.0127272727272727,Priority D,Appropriately-covered,90,Diya Bora
159,Siddharth Gupta,Bangalore,Diabetologist,Switcher,58,1.67,5.156999999999999,Priority D,Appropriately-covered,42,Kashvi Edwin
160,Pooja Ramanathan,Mumbai,Diabetologist,Brand_Loyal,85,2.06,8.5975,Priority B,Appropriately-covered,100,Samar Lalla
161,Chavvi Khurana,Bangalore,Cardiologist,Switcher,51,1.44,16.507272727272728,Priority C,Appropriately-covered,41,Yashica Issac
162,Zayyan Kamdar,Hyderabad,Diabetologist,Switcher,55,2.83,9.645555555555555,Priority D,Appropriately-covered,58,Ekavir Varkey
163,Manthan Modi,Delhi,GP,Brand_Loyal,62,1.89,-0.4581818181818184,Priority B,Appropriately-covered,1,Aryan Maharaj
164,Nidhi Sant,Kolkata,GP,Switcher,54,2.39,2.4781818181818185,Priority D,Appropriately-covered,70,Faqid Savant
165,Arunima Bedi,Kochi,GP,Switcher,67,6.89,0.7266666666666667,Priority B,Appropriately-covered,64,Unni Bhagat
166,Charita Barad,Mumbai,GP,Switcher,57,1.61,-20.195,Priority D,Appropriately-covered,96,Abhiram Mistry
167,Manan Bhalla,Kolkata,Diabetologist,Competitor_Loyal,46,1.67,-3.623636363636363,Priority D,Appropriately-covered,76,Madhavi Lanka
168,Jagrati Sur,Pune,Cardiologist,Switcher,57,2.89,-0.2174999999999998,Priority D,Appropriately-covered,104,Adweta Edwin
169,Aryan Narang,Delhi,Cardiologist,Competitor_Loyal,64,2.5,1.419090909090909,Priority B,Appropriately-covered,7,Saumya Mall
170,Rushil Mahal,Hyderabad,GP,Competitor_Loyal,61,1.56,6.412222222222223,Priority B,Appropriately-covered,60,Kevin Solanki
171,Chatresh Bhalla,Kolkata,Cardiologist,Switcher,39,1.5,0.2188888888888895,Priority D,Appropriately-covered,79,Teerth Bhardwaj
172,Tristan Uppal,Bangalore,Diabetologist,Brand_Loyal,86,2.39,8.301818181818183,Priority B,Appropriately-covered,40,Yashica Cherian
173,Omisha Sharma,Ahmedabad,GP,Brand_Loyal,50,2.94,-0.024285714285714,Priority D,Appropriately-covered,110,Shivansh Krish
174,Leela Bhagat,Mumbai,Diabetologist,Competitor_Loyal,94,2.06,-4.449999999999999,Priority B,Appropriately-covered,92,Tanay Toor
175,Idika Bhattacharyya,Jaipur,Diabetologist,Competitor_Loyal,91,6.33,10.345714285714283,Priority B,Appropriately-covered,21,Ekbal Garg
176,Dominic Kade,Kolkata,GP,Brand_Loyal,86,3.61,2.850909090909091,Priority B,Appropriately-covered,72,Girik Khalsa
177,Lila Salvi,Chennai,Cardiologist,Switcher,62,2.06,-5.899,Priority B,Appropriately-covered,54,Devansh Nigam
178,Ekiya Gade,Mumbai,Cardiologist,Switcher,63,1.94,10.86153846153846,Priority B,Appropriately-covered,101,Zayan Behl
179,Victor Mutti,Kolkata,Cardiologist,Brand_Loyal,52,2.11,-0.2463636363636364,Priority D,Appropriately-covered,71,Chandresh Zachariah
180,Onkar Mandal,Mumbai,Cardiologist,Competitor_Loyal,95,1.39,1.6940000000000004,Priority B,Under-covered,99,Baghyawati Kade
181,Lucky Mammen,Chennai,GP,Switcher,73,2.39,4.800000000000001,Priority B,Appropriately-covered,49,Alka Wable
182,Adweta Kale,Chennai,Diabetologist,Switcher,82,1.94,-6.176,Priority B,Appropriately-covered,46,Farhan Chada
183,Vedant Chaudhari,Pune,Diabetologist,Switcher,43,2.5,3.9975,Priority D,Appropriately-covered,105,Prisha Andra
184,Siya Shan,Mumbai,GP,Competitor_Loyal,48,1.89,-2.820769230769232,Priority D,Appropriately-covered,94,Yash Pingle
185,Yashodhara Agate,Chennai,Diabetologist,Competitor_Loyal,75,2.78,2.7540000000000004,Priority B,Appropriately-covered,48,Kabir Soman
186,Ojas Suri,Chennai,Cardiologist,Switcher,51,2.17,5.479,Priority D,Appropriately-covered,52,Raksha Varughese
187,Jagdish Dhar,Indore,Cardiologist,Switcher,31,4.17,4.3825,Priority D,Over-covered,120,Mohini Narasimhan
188,Madhav Sule,Kolkata,Cardiologist,Brand_Loyal,53,1.83,4.215999999999999,Priority D,Appropriately-covered,73,Niharika Sunder
189,Tristan Dave,Kolkata,GP,Switcher,51,2.44,5.5672727272727265,Priority D,Appropriately-covered,78,Mohammed Gupta
190,Vidhi Mital,Kolkata,Diabetologist,Competitor_Loyal,48,2.28,-6.752,Priority D,Appropriately-covered,80,Dipta Bhandari
191,Nitara Devan,Bangalore,Diabetologist,Competitor_Loyal,33,1.61,-11.597,Priority D,Appropriately-covered,43,Ekiya Suresh
192,Krisha Saini,Delhi,Diabetologist,Competitor_Loyal,69,2.06,-0.2716666666666665,Priority B,Appropriately-covered,5,Viraj Tiwari
193,Indali Prashad,Hyderabad,GP,Switcher,57,3.5,0.1111111111111111,Priority D,Appropriately-covered,59,Arya Sunder
194,Maanav De,Delhi,Cardiologist,Competitor_Loyal,90,2.5,-6.801666666666667,Priority B,Appropriately-covered,3,Gagan Sami
195,Rajata Sunder,Delhi,Diabetologist,Brand_Loyal,82,2.17,7.768181818181819,Priority B,Appropriately-covered,10,Gayathri Chaudry
196,Jagat Dave,Bangalore,Cardiologist,Competitor_Loyal,65,2.06,3.118,Priority B,Appropriately-covered,34,Devansh Rajan
197,Wishi Agrawal,Kochi,Diabetologist,Brand_Loyal,21,4.17,3.3766666666666665,Priority D,Over-covered,66,Ikbal Kothari
198,Yochana Bhargava,Indore,Cardiologist,Switcher,23,3.56,22.52,Priority C,Over-covered,119,Udant Bajwa
199,Ganga Sandhu,Bangalore,GP,Switcher,65,2.5,10.439,Priority B,Appropriately-covered,34,Devansh Rajan
200,Vedant Desai,Hyderabad,Diabetologist,Switcher,40,2.44,-2.2666666666666675,Priority D,Appropriately-covered,63,Irya Sampath
201,Anjali Sachdeva,Ahmedabad,Cardiologist,Switcher,54,2.28,9.872857142857145,Priority D,Appropriately-covered,112,Warjas Gaba
202,Nidra Thakkar,Bangalore,Diabetologist,Competitor_Loyal,47,1.5,3.798999999999999,Priority D,Appropriately-covered,36,Advay Contractor
