rep_id,rep_name,region,city,month_year,monthly_rx,rolling_3m_avg_rx,efficiency_ratio,performance_quadrant
6,Rushil Saini,North,Delhi,2023-07,1610,1610.0,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2023-08,1689,1649.5,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2023-09,1652,1650.33,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2023-10,1907,1749.33,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2023-11,1977,1845.33,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2023-12,1807,1897.0,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-01,1860,1881.33,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-02,1979,1882.0,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-03,2020,1953.0,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-04,2001,2000.0,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-05,2039,2020.0,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-06,2083,2041.0,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-07,1778,1966.67,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-08,1786,1882.33,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-09,1853,1805.67,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-10,2152,1930.33,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-11,2172,2059.0,0.971,"Low Effort, Low Impact"
6,Rushil Saini,North,Delhi,2024-12,1958,2094.0,0.971,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2023-07,1590,1590.0,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2023-08,1601,1595.5,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2023-09,1604,1598.33,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2023-10,1836,1680.33,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2023-11,1842,1760.67,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2023-12,1771,1816.33,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-01,1790,1801.0,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-02,1916,1825.67,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-03,1912,1872.67,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-04,1931,1919.67,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-05,1952,1931.67,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-06,2007,1963.33,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-07,1748,1902.33,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-08,1730,1828.33,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-09,1787,1755.0,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-10,2033,1850.0,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-11,2066,1962.0,0.949,"Low Effort, Low Impact"
7,Saumya Mall,North,Delhi,2024-12,1896,1998.33,0.949,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2023-07,1555,1555.0,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2023-08,1545,1550.0,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2023-09,1568,1556.0,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2023-10,1761,1624.67,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2023-11,1779,1702.67,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2023-12,1723,1754.33,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-01,1724,1742.0,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-02,1846,1764.33,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-03,1843,1804.33,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-04,1867,1852.0,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-05,1883,1864.33,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-06,1941,1897.0,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-07,1677,1833.67,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-08,1691,1769.67,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-09,1724,1697.33,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-10,1975,1796.67,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-11,2002,1900.33,0.919,"Low Effort, Low Impact"
8,Nathaniel Sami,North,Delhi,2024-12,1832,1936.33,0.919,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2023-07,1560,1560.0,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2023-08,1555,1557.5,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2023-09,1555,1556.67,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2023-10,1799,1636.33,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2023-11,1821,1725.0,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2023-12,1750,1790.0,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-01,1747,1772.67,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-02,1863,1786.67,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-03,1876,1828.67,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-04,1905,1881.33,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-05,1900,1893.67,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-06,1959,1921.33,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-07,1712,1857.0,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-08,1710,1793.67,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-09,1747,1723.0,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-10,2014,1823.67,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-11,2003,1921.33,0.937,"Low Effort, Low Impact"
9,Arunima Dugal,North,Delhi,2024-12,1840,1952.33,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2023-07,1612,1612.0,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2023-08,1623,1617.5,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2023-09,1635,1623.33,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2023-10,1857,1705.0,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2023-11,1860,1784.0,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2023-12,1797,1838.0,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-01,1803,1820.0,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-02,1952,1850.67,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-03,1938,1897.67,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-04,1960,1950.0,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-05,1993,1963.67,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-06,2039,1997.33,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-07,1754,1928.67,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-08,1765,1852.67,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-09,1799,1772.67,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-10,2067,1877.0,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-11,2088,1984.67,0.937,"Low Effort, Low Impact"
10,Gayathri Chaudry,North,Delhi,2024-12,1914,2023.0,0.937,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2023-07,1605,1605.0,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2023-08,1613,1609.0,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2023-09,1623,1613.67,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2023-10,1839,1691.67,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2023-11,1861,1774.33,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2023-12,1785,1828.33,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-01,1798,1814.67,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-02,1939,1840.67,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-03,1938,1891.67,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-04,1958,1945.0,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-05,1947,1947.67,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-06,2036,1980.33,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-07,1759,1914.0,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-08,1762,1852.33,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-09,1796,1772.33,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-10,2060,1872.67,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-11,2079,1978.33,0.935,"Low Effort, Low Impact"
11,Lajita Chatterjee,North,Delhi,2024-12,1900,2013.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2023-07,1612,1612.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2023-08,1620,1616.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2023-09,1641,1624.33,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2023-10,1863,1708.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2023-11,1865,1789.67,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2023-12,1804,1844.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-01,1810,1826.33,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-02,1933,1849.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-03,1953,1898.67,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-04,1961,1949.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-05,1981,1965.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-06,2037,1993.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-07,1757,1925.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-08,1767,1853.67,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-09,1813,1779.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-10,2075,1885.0,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-11,2093,1993.67,0.935,"Low Effort, Low Impact"
12,Hemangini Lalla,North,Delhi,2024-12,1914,2027.33,0.935,"Low Effort, Low Impact"
13,Tripti Yadav,North,Lucknow,2023-07,441,441.0,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2023-08,480,460.5,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2023-09,460,460.33,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2023-10,563,501.0,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2023-11,592,538.33,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2023-12,516,557.0,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-01,543,550.33,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-02,591,550.0,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-03,609,581.0,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-04,590,596.67,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-05,593,597.33,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-06,623,602.0,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-07,490,568.67,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-08,521,544.67,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-09,517,509.33,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-10,651,563.0,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-11,636,601.33,1.147,"High Effort, High Impact"
13,Tripti Yadav,North,Lucknow,2024-12,602,629.67,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2023-07,441,441.0,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2023-08,480,460.5,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2023-09,460,460.33,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2023-10,563,501.0,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2023-11,592,538.33,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2023-12,516,557.0,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-01,543,550.33,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-02,591,550.0,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-03,609,581.0,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-04,590,596.67,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-05,593,597.33,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-06,623,602.0,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-07,490,568.67,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-08,521,544.67,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-09,517,509.33,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-10,651,563.0,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-11,636,601.33,1.147,"High Effort, High Impact"
14,Kritika Brar,North,Lucknow,2024-12,602,629.67,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2023-07,441,441.0,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2023-08,480,460.5,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2023-09,460,460.33,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2023-10,563,501.0,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2023-11,592,538.33,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2023-12,516,557.0,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-01,543,550.33,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-02,591,550.0,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-03,609,581.0,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-04,590,596.67,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-05,593,597.33,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-06,623,602.0,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-07,490,568.67,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-08,521,544.67,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-09,517,509.33,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-10,651,563.0,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-11,636,601.33,1.147,"High Effort, High Impact"
15,Janaki Handa,North,Lucknow,2024-12,602,629.67,1.147,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2023-07,447,447.0,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2023-08,474,460.5,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2023-09,445,455.33,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2023-10,569,496.0,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2023-11,575,529.67,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2023-12,500,548.0,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-01,510,528.33,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-02,586,532.0,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-03,569,555.0,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-04,579,578.0,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-05,609,585.67,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-06,599,595.67,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-07,483,563.67,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-08,514,532.0,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-09,508,501.67,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-10,586,536.0,1.111,"High Effort, High Impact"
16,Chakradev Kari,North,Lucknow,2024-11,628,574.0,1.111,"High Effort, High Impact"
