hcp_id,hcp_name,city_id,specialty,loyalty_tier,potential_score,potential_tier,avg_rx_lift_pct,responsiveness,priority_bucket
87,Anika Virk,13,GP,Brand_Loyal,53,Low,-0.4700000000000002,Non-responsive,Priority D
88,Azad Choudhary,5,Diabetologist,Switcher,39,Low,19.848888888888887,Responsive,Priority C
89,Christopher Amble,2,Diabetologist,Switcher,53,Low,-6.69375,Non-responsive,Priority D
90,Keya Goyal,13,GP,Switcher,17,Low,37.98285714285714,Responsive,Priority C
91,Odika Ganesh,10,GP,Brand_Loyal,69,High,0.5150000000000001,Non-responsive,Priority B
92,Frado Lad,6,Cardiologist,Switcher,50,Low,-2.0600000000000005,Non-responsive,Priority D
93,Hritik Kaur,1,Diabetologist,Switcher,60,High,1.8118181818181818,Non-responsive,Priority B
94,Harinakshi Kant,2,Cardiologist,Brand_Loyal,86,High,5.61,Non-responsive,Priority B
95,Ira Mane,14,Diabetologist,Switcher,51,Low,-7.167142857142857,Non-responsive,Priority D
96,Nimrat Sathe,12,Cardiologist,Brand_Loyal,81,High,-4.222307692307693,Non-responsive,Priority B
97,Amrita Tailor,5,Cardiologist,Competitor_Loyal,75,High,9.363999999999999,Non-responsive,Priority B
98,Anirudh Mander,9,GP,Switcher,65,High,-4.47,Non-responsive,Priority B
99,Aradhana Nair,7,Cardiologist,Brand_Loyal,36,Low,11.231111111111112,Non-responsive,Priority D
100,Janaki Srivastava,14,GP,Switcher,38,Low,-2.9414285714285717,Non-responsive,Priority D
101,Nakul Pathak,9,Cardiologist,Brand_Loyal,90,High,1.2863636363636366,Non-responsive,Priority B
102,Advika Misra,7,GP,Switcher,61,High,-1.0344444444444447,Non-responsive,Priority B
103,Jeremiah Mitter,4,Diabetologist,Switcher,44,Low,0.9816666666666668,Non-responsive,Priority D
104,Hemangini Gade,7,Cardiologist,Switcher,50,Low,17.776666666666667,Responsive,Priority C
105,Siya Thakur,1,Cardiologist,Switcher,45,Low,0.5163636363636364,Non-responsive,Priority D
106,Garima Prabhu,7,Diabetologist,Brand_Loyal,73,High,2.2511111111111113,Non-responsive,Priority B
107,Garima Chandran,5,GP,Brand_Loyal,61,High,6.582727272727272,Non-responsive,Priority B
108,Gopal Pradhan,1,Diabetologist,Brand_Loyal,68,High,12.720833333333333,Non-responsive,Priority B
109,Manthan Khosla,5,Cardiologist,Competitor_Loyal,68,High,1.7909090909090906,Non-responsive,Priority B
110,Devansh Bhasin,5,Cardiologist,Switcher,82,High,5.025454545454545,Non-responsive,Priority B
111,Gabriel Chaudhry,6,Cardiologist,Switcher,57,Low,17.973,Responsive,Priority C
112,Ekalinga Jayaraman,14,Cardiologist,Switcher,54,Low,4.725714285714285,Non-responsive,Priority D
113,Dayamai Karnik,10,GP,Switcher,38,Low,5.96,Non-responsive,Priority D
114,Jai Mahal,13,Diabetologist,Competitor_Loyal,37,Low,4.835,Non-responsive,Priority D
115,Tanay Sood,6,GP,Competitor_Loyal,60,High,28.425,Responsive,Priority A
116,Champak Narula,3,Diabetologist,Competitor_Loyal,51,Low,8.719999999999999,Non-responsive,Priority D
117,Oliver Bhattacharyya,7,Cardiologist,Brand_Loyal,48,Low,-2.1733333333333333,Non-responsive,Priority D
118,Gabriel Majumdar,9,Diabetologist,Brand_Loyal,82,High,-6.664545454545455,Non-responsive,Priority B
119,Libni Bumb,3,Diabetologist,Competitor_Loyal,74,High,-2.1285714285714286,Non-responsive,Priority B
120,Lajita Munshi,12,Diabetologist,Competitor_Loyal,82,High,4.05076923076923,Non-responsive,Priority B
121,Samaksh Virk,9,Cardiologist,Brand_Loyal,72,High,-2.147272727272728,Non-responsive,Priority B
122,Jatin Peri,7,Cardiologist,Switcher,41,Low,-5.058888888888889,Non-responsive,Priority D
123,Rishi Contractor,9,GP,Brand_Loyal,43,Low,-3.1199999999999988,Non-responsive,Priority D
124,Hiral Sathe,5,Diabetologist,Competitor_Loyal,65,High,4.650909090909091,Non-responsive,Priority B
125,Brijesh Pandit,3,Diabetologist,Switcher,55,Low,6.2542857142857144,Non-responsive,Priority D
126,Lakshmi Ram,9,GP,Brand_Loyal,72,High,-2.787,Non-responsive,Priority B
127,Jasmit Dhawan,5,Cardiologist,Competitor_Loyal,64,High,-9.875555555555556,Non-responsive,Priority B
128,Kalpit Oak,6,Diabetologist,Competitor_Loyal,60,High,5.782,Non-responsive,Priority B
129,Nisha Khare,13,GP,Brand_Loyal,37,Low,-6.6675,Non-responsive,Priority D
130,Aarav Pandit,3,GP,Switcher,59,Low,-0.7099999999999999,Non-responsive,Priority D
131,Aahana Bawa,12,Diabetologist,Brand_Loyal,82,High,5.48,Non-responsive,Priority B
132,Hemal Choudhry,12,GP,Competitor_Loyal,93,High,11.527499999999998,Non-responsive,Priority B
133,Tara Parmar,6,Diabetologist,Switcher,65,High,-2.309,Non-responsive,Priority B
134,Vanya Dua,5,GP,Switcher,69,High,1.5309090909090912,Non-responsive,Priority B
135,Pushti Magar,6,Diabetologist,Switcher,53,Low,-8.421,Non-responsive,Priority D
136,Victor Sachdeva,9,Diabetologist,Competitor_Loyal,66,High,1.1299999999999997,Non-responsive,Priority B
137,Devika Dayal,7,GP,Competitor_Loyal,52,Low,13.474444444444446,Non-responsive,Priority D
138,Varsha Mody,13,Diabetologist,Brand_Loyal,49,Low,2.4375,Non-responsive,Priority D
139,Qasim Sarraf,15,Diabetologist,Brand_Loyal,51,Low,0.4625,Non-responsive,Priority D
140,Yatan Venkataraman,12,GP,Switcher,81,High,-1.0823076923076924,Non-responsive,Priority B
141,Abhiram Arora,9,Diabetologist,Competitor_Loyal,72,High,6.991818181818181,Non-responsive,Priority B
142,Ekansh Singh,2,Cardiologist,Competitor_Loyal,55,Low,4.641249999999999,Non-responsive,Priority D
143,Darsh Chana,12,Diabetologist,Switcher,59,Low,14.995,Non-responsive,Priority D
144,Jalsa Mani,15,GP,Brand_Loyal,59,Low,5.465,Non-responsive,Priority D
145,Aarush Kulkarni,12,Diabetologist,Competitor_Loyal,53,Low,-0.1516666666666661,Non-responsive,Priority D
146,Kashvi Sagar,5,Diabetologist,Brand_Loyal,80,High,0.4022222222222227,Non-responsive,Priority B
147,Veda Bose,5,GP,Brand_Loyal,59,Low,7.455,Non-responsive,Priority D
148,Faras Nair,12,Diabetologist,Switcher,62,High,-0.5891666666666667,Non-responsive,Priority B
149,Karan Aurora,1,GP,Competitor_Loyal,81,High,1.6016666666666672,Non-responsive,Priority B
150,Barkha Setty,1,GP,Switcher,69,High,-6.433,Non-responsive,Priority B
151,Ojas Ranganathan,10,GP,Competitor_Loyal,40,Low,6.6375,Non-responsive,Priority D
152,Oni Chowdhury,7,Diabetologist,Brand_Loyal,99,High,11.135555555555555,Non-responsive,Priority B
153,Ladli Purohit,5,GP,Switcher,56,Low,7.208181818181817,Non-responsive,Priority D
154,Yauvani Dhar,9,GP,Brand_Loyal,74,High,-0.9163636363636362,Non-responsive,Priority B
155,Chavvi Maharaj,2,Cardiologist,Switcher,69,High,4.4075,Non-responsive,Priority B
156,Ijaya Rege,1,Cardiologist,Switcher,44,Low,31.578333333333333,Responsive,Priority C
157,Ladli Karpe,5,Cardiologist,Brand_Loyal,69,High,2.549090909090909,Non-responsive,Priority B
158,Joshua Menon,12,GP,Competitor_Loyal,38,Low,0.01272727272727278,Non-responsive,Priority D
159,Siddharth Gupta,5,Diabetologist,Switcher,58,Low,5.156999999999999,Non-responsive,Priority D
160,Pooja Ramanathan,12,Diabetologist,Brand_Loyal,85,High,8.5975,Non-responsive,Priority B
161,Chavvi Khurana,5,Cardiologist,Switcher,51,Low,16.507272727272728,Responsive,Priority C
162,Zayyan Kamdar,7,Diabetologist,Switcher,55,Low,9.645555555555555,Non-responsive,Priority D
163,Manthan Modi,1,GP,Brand_Loyal,62,High,-0.4581818181818184,Non-responsive,Priority B
164,Nidhi Sant,9,GP,Switcher,54,Low,2.4781818181818185,Non-responsive,Priority D
165,Arunima Bedi,8,GP,Switcher,67,High,0.7266666666666667,Non-responsive,Priority B
166,Charita Barad,12,GP,Switcher,57,Low,-20.195,Non-responsive,Priority D
167,Manan Bhalla,9,Diabetologist,Competitor_Loyal,46,Low,-3.6236363636363635,Non-responsive,Priority D
168,Jagrati Sur,13,Cardiologist,Switcher,57,Low,-0.2174999999999998,Non-responsive,Priority D
169,Aryan Narang,1,Cardiologist,Competitor_Loyal,64,High,1.419090909090909,Non-responsive,Priority B
170,Rushil Mahal,7,GP,Competitor_Loyal,61,High,6.412222222222223,Non-responsive,Priority B
171,Chatresh Bhalla,9,Cardiologist,Switcher,39,Low,0.21888888888888955,Non-responsive,Priority D
172,Tristan Uppal,5,Diabetologist,Brand_Loyal,86,High,8.301818181818183,Non-responsive,Priority B
173,Omisha Sharma,14,GP,Brand_Loyal,50,Low,-0.024285714285714022,Non-responsive,Priority D
174,Leela Bhagat,12,Diabetologist,Competitor_Loyal,94,High,-4.449999999999999,Non-responsive,Priority B
175,Idika Bhattacharyya,3,Diabetologist,Competitor_Loyal,91,High,10.345714285714285,Non-responsive,Priority B
176,Dominic Kade,9,GP,Brand_Loyal,86,High,2.850909090909091,Non-responsive,Priority B
177,Lila Salvi,6,Cardiologist,Switcher,62,High,-5.899,Non-responsive,Priority B
178,Ekiya Gade,12,Cardiologist,Switcher,63,High,10.86153846153846,Non-responsive,Priority B
179,Victor Mutti,9,Cardiologist,Brand_Loyal,52,Low,-0.24636363636363645,Non-responsive,Priority D
180,Onkar Mandal,12,Cardiologist,Competitor_Loyal,95,High,1.6940000000000004,Non-responsive,Priority B
181,Lucky Mammen,6,GP,Switcher,73,High,4.800000000000001,Non-responsive,Priority B
182,Adweta Kale,6,Diabetologist,Switcher,82,High,-6.176,Non-responsive,Priority B
183,Vedant Chaudhari,13,Diabetologist,Switcher,43,Low,3.9975,Non-responsive,Priority D
184,Siya Shan,12,GP,Competitor_Loyal,48,Low,-2.820769230769232,Non-responsive,Priority D
185,Yashodhara Agate,6,Diabetologist,Competitor_Loyal,75,High,2.7540000000000004,Non-responsive,Priority B
186,Ojas Suri,6,Cardiologist,Switcher,51,Low,5.479,Non-responsive,Priority D
187,Jagdish Dhar,15,Cardiologist,Switcher,31,Low,4.3825,Non-responsive,Priority D
188,Madhav Sule,9,Cardiologist,Brand_Loyal,53,Low,4.215999999999999,Non-responsive,Priority D
189,Tristan Dave,9,GP,Switcher,51,Low,5.5672727272727265,Non-responsive,Priority D
190,Vidhi Mital,9,Diabetologist,Competitor_Loyal,48,Low,-6.752,Non-responsive,Priority D
191,Nitara Devan,5,Diabetologist,Competitor_Loyal,33,Low,-11.597,Non-responsive,Priority D
192,Krisha Saini,1,Diabetologist,Competitor_Loyal,69,High,-0.2716666666666665,Non-responsive,Priority B
193,Indali Prashad,7,GP,Switcher,57,Low,0.1111111111111111,Non-responsive,Priority D
194,Maanav De,1,Cardiologist,Competitor_Loyal,90,High,-6.801666666666667,Non-responsive,Priority B
195,Rajata Sunder,1,Diabetologist,Brand_Loyal,82,High,7.7681818181818185,Non-responsive,Priority B
196,Jagat Dave,5,Cardiologist,Competitor_Loyal,65,High,3.118,Non-responsive,Priority B
197,Wishi Agrawal,8,Diabetologist,Brand_Loyal,21,Low,3.3766666666666665,Non-responsive,Priority D
198,Yochana Bhargava,15,Cardiologist,Switcher,23,Low,22.52,Responsive,Priority C
199,Ganga Sandhu,5,GP,Switcher,65,High,10.439,Non-responsive,Priority B
200,Vedant Desai,7,Diabetologist,Switcher,40,Low,-2.2666666666666675,Non-responsive,Priority D
201,Anjali Sachdeva,14,Cardiologist,Switcher,54,Low,9.872857142857143,Non-responsive,Priority D
202,Nidra Thakkar,5,Diabetologist,Competitor_Loyal,47,Low,3.7989999999999995,Non-responsive,Priority D
203,Balendra Biswas,1,Cardiologist,Competitor_Loyal,68,High,24.740999999999996,Responsive,Priority A
204,Brinda Bali,6,Cardiologist,Switcher,76,High,6.35,Non-responsive,Priority B
205,Jairaj Iyer,3,Cardiologist,Competitor_Loyal,43,Low,11.292857142857143,Non-responsive,Priority D
206,Devansh Soni,1,Cardiologist,Switcher,65,High,7.5590909090909095,Non-responsive,Priority B
207,Rachit Pall,12,Cardiologist,Brand_Loyal,58,Low,2.5336363636363632,Non-responsive,Priority D
208,Advay Dhaliwal,9,Diabetologist,Competitor_Loyal,51,Low,9.67909090909091,Non-responsive,Priority D
209,Victor Radhakrishnan,9,Cardiologist,Competitor_Loyal,64,High,13.211818181818181,Non-responsive,Priority B
210,Aryan Batra,1,Diabetologist,Switcher,81,High,5.873636363636364,Non-responsive,Priority B
211,Vamakshi Barad,9,Diabetologist,Competitor_Loyal,64,High,18.526363636363637,Responsive,Priority A
212,William Date,1,Diabetologist,Switcher,41,Low,-6.575,Non-responsive,Priority D
213,Anirudh Sharaf,2,GP,Brand_Loyal,51,Low,11.715,Non-responsive,Priority D
214,Panini Krishna,1,Cardiologist,Competitor_Loyal,60,High,-1.2724999999999997,Non-responsive,Priority B
215,Tanvi Comar,6,Diabetologist,Competitor_Loyal,68,High,-9.911,Non-responsive,Priority B
216,Omya Garg,13,Cardiologist,Switcher,70,High,9.5725,Non-responsive,Priority B
217,Ganga Shukla,9,Diabetologist,Competitor_Loyal,56,Low,-1.1654545454545449,Non-responsive,Priority D
218,Hardik Nayak,3,Diabetologist,Switcher,40,Low,2.422857142857143,Non-responsive,Priority D
219,Jalsa Pillay,4,Cardiologist,Switcher,42,Low,0.9800000000000003,Non-responsive,Priority D
220,Nidra Boase,12,Cardiologist,Switcher,72,High,9.926363636363636,Non-responsive,Priority B
221,Lila Goyal,7,Cardiologist,Competitor_Loyal,99,High,-2.8955555555555557,Non-responsive,Priority B
222,Zashil Devan,1,GP,Switcher,67,High,4.681666666666666,Non-responsive,Priority B
223,Charan Loyal,5,Cardiologist,Switcher,48,Low,-13.563333333333334,Non-responsive,Priority D
224,Sanaya Parekh,12,Cardiologist,Switcher,45,Low,-2.985555555555556,Non-responsive,Priority D
225,Madhavi Sekhon,12,Diabetologist,Switcher,80,High,-3.2074999999999996,Non-responsive,Priority B
226,Aashi Gaba,14,GP,Competitor_Loyal,56,Low,-6.735714285714287,Non-responsive,Priority D
227,Alka Kade,4,Cardiologist,Switcher,73,High,-1.375,Non-responsive,Priority B
228,Chasmum Atwal,1,Diabetologist,Competitor_Loyal,97,High,3.9790909090909086,Non-responsive,Priority B
229,Nidra Chhabra,12,Cardiologist,Brand_Loyal,72,High,5.314166666666668,Non-responsive,Priority B
230,Anvi Bhandari,3,GP,Switcher,66,High,4.781428571428571,Non-responsive,Priority B
231,Oni Parekh,14,GP,Switcher,28,Low,-2.845714285714286,Non-responsive,Priority D
232,Ati Bali,1,Cardiologist,Competitor_Loyal,57,Low,-7.095454545454547,Non-responsive,Priority D
233,Shravya Gole,9,GP,Competitor_Loyal,56,Low,29.244,Responsive,Priority C
234,Ranveer Manne,12,GP,Brand_Loyal,61,High,1.850833333333334,Non-responsive,Priority B
235,Ganga Keer,7,Diabetologist,Competitor_Loyal,51,Low,20.441111111111113,Responsive,Priority C
236,Zashil Ben,2,Diabetologist,Switcher,46,Low,2.7700000000000005,Non-responsive,Priority D
237,Darika Sheth,6,GP,Brand_Loyal,55,Low,-5.3420000000000005,Non-responsive,Priority D
238,Manbir Dhar,6,GP,Competitor_Loyal,47,Low,1.6900000000000006,Non-responsive,Priority D
239,Vanya Sarin,13,GP,Switcher,59,Low,0.013749999999999929,Non-responsive,Priority D
240,Udant Aggarwal,5,Cardiologist,Switcher,67,High,12.838,Non-responsive,Priority B
241,Falak Agate,6,GP,Competitor_Loyal,50,Low,-13.484,Non-responsive,Priority D
242,Baljiwan Chahal,9,GP,Competitor_Loyal,46,Low,31.95818181818182,Responsive,Priority C
243,Christopher Setty,5,Diabetologist,Competitor_Loyal,80,High,2.3599999999999994,Non-responsive,Priority B
244,Raksha Saini,7,GP,Brand_Loyal,82,High,6.1433333333333335,Non-responsive,Priority B
245,Saanvi Kota,11,GP,Switcher,38,Low,11.177500000000002,Non-responsive,Priority D
246,Aishani Bumb,1,GP,Competitor_Loyal,62,High,0.4845454545454544,Non-responsive,Priority B
247,Thomas Bhatnagar,13,Diabetologist,Brand_Loyal,77,High,-2.295,Non-responsive,Priority B
248,Forum Sen,12,GP,Competitor_Loyal,61,High,-1.3384615384615388,Non-responsive,Priority B
249,Advik Konda,6,GP,Brand_Loyal,50,Low,3.6555555555555554,Non-responsive,Priority D
250,Viraj Chacko,9,GP,Switcher,78,High,-4.811818181818182,Non-responsive,Priority B
251,Gaurav Kapadia,7,GP,Competitor_Loyal,34,Low,-17.175,Non-responsive,Priority D
252,Diya Dora,2,Diabetologist,Switcher,52,Low,-5.55125,Non-responsive,Priority D
253,Samarth Verma,14,Cardiologist,Switcher,46,Low,2.7071428571428577,Non-responsive,Priority D
254,Anirudh Sastry,5,Diabetologist,Switcher,56,Low,-2.826363636363636,Non-responsive,Priority D
255,Ekani Bhatnagar,12,GP,Brand_Loyal,72,High,-2.559,Non-responsive,Priority B
256,Chatresh Shroff,12,Diabetologist,Switcher,43,Low,-2.2963636363636355,Non-responsive,Priority D
257,Omaja Rege,5,Cardiologist,Switcher,63,High,6.45,Non-responsive,Priority B
258,Daksh Andra,5,Cardiologist,Switcher,76,High,12.469,Non-responsive,Priority B
259,Warinder Sankaran,9,Diabetologist,Switcher,82,High,-0.5854545454545456,Non-responsive,Priority B
260,Krisha Dugar,13,GP,Competitor_Loyal,55,Low,-2.5250000000000004,Non-responsive,Priority D
261,Amrita Naidu,1,Diabetologist,Switcher,44,Low,-0.5750000000000002,Non-responsive,Priority D
262,Siya Pillai,14,Diabetologist,Brand_Loyal,63,High,0.7357142857142857,Non-responsive,Priority B
263,Saanvi Thaman,1,Cardiologist,Switcher,65,High,9.524444444444445,Non-responsive,Priority B
264,Samaksh Jayaraman,12,Cardiologist,Competitor_Loyal,59,Low,-5.5209090909090905,Non-responsive,Priority D
265,Nitesh Raval,7,Diabetologist,Switcher,42,Low,28.90222222222222,Responsive,Priority C
266,Sai Vasa,9,Diabetologist,Brand_Loyal,76,High,2.852727272727273,Non-responsive,Priority B
267,Yadavi Prakash,3,GP,Competitor_Loyal,60,High,2.805714285714285,Non-responsive,Priority B
268,Vivaan Roy,1,Cardiologist,Competitor_Loyal,65,High,15.145833333333334,Responsive,Priority A
269,Aarini Subramaniam,1,Diabetologist,Competitor_Loyal,40,Low,28.310000000000002,Responsive,Priority C
270,Wakeeta Dixit,7,Diabetologist,Switcher,83,High,3.4366666666666674,Non-responsive,Priority B
271,Idika Pandey,12,Cardiologist,Switcher,69,High,10.643846153846154,Non-responsive,Priority B
272,Arjun Shroff,12,Cardiologist,Switcher,68,High,-5.053333333333333,Non-responsive,Priority B
273,Varenya Kala,5,Cardiologist,Competitor_Loyal,53,Low,-4.111,Non-responsive,Priority D
274,Janani Char,14,Cardiologist,Brand_Loyal,55,Low,6.861428571428571,Non-responsive,Priority D
275,Gopal Dasgupta,15,Diabetologist,Brand_Loyal,53,Low,5.1575,Non-responsive,Priority D
