rep_id,rep_name,hcp_id,hcp_name,loyalty_tier,avg_rx_before,avg_rx_after,rx_lift,rx_lift_pct
36,Advay Contractor,880,George Wason,Competitor_Loyal,1.0,3.0,2.0,200.0
39,Aarush Lall,676,Ikshita Mahal,Competitor_Loyal,1.0,3.0,2.0,200.0
39,Aarush Lall,1483,Rohan Shankar,Competitor_Loyal,0.5,1.5,1.0,200.0
41,Yashica Issac,424,Advika Sahni,Competitor_Loyal,1.0,3.0,2.0,200.0
43,Ekiya Suresh,880,George Wason,Competitor_Loyal,1.0,3.0,2.0,200.0
47,Ekapad Walia,1813,Rachit Maharaj,Competitor_Loyal,1.0,3.0,2.0,200.0
48,Kabir Soman,766,Oni Kapur,Switcher,1.5,4.5,3.0,200.0
48,Kabir Soman,1825,Chandani Devan,Competitor_Loyal,1.0,3.0,2.0,200.0
57,Ekansh Balay,438,Dalaja Maharaj,Competitor_Loyal,0.5,1.5,1.0,200.0
76,Madhavi Lanka,1467,Ishita Bora,Competitor_Loyal,1.0,3.0,2.0,200.0
90,Diya Bora,517,Deepa Nigam,Competitor_Loyal,1.0,3.0,2.0,200.0
91,Tara Chaudhry,597,Praneel Setty,Switcher,3.5,10.5,7.0,200.0
91,Tara Chaudhry,1981,Maanas Sur,Switcher,2.0,6.0,4.0,200.0
95,Nakul Sarma,1013,Tristan Sankaran,Competitor_Loyal,0.5,1.5,1.0,200.0
95,Nakul Sarma,1513,Gavin Comar,Switcher,4.0,12.0,8.0,200.0
97,Krish Lalla,666,Shivani Rajagopalan,Competitor_Loyal,1.25,3.75,2.5,200.0
98,Hredhaan Dugal,1513,Gavin Comar,Switcher,4.0,12.0,8.0,200.0
100,Samar Lalla,309,Kala Bera,Competitor_Loyal,0.67,2.0,1.33,200.0
101,Zayan Behl,1343,Nakul Walla,Competitor_Loyal,0.5,1.5,1.0,200.0
106,Faqid Dixit,520,Aadhya Raman,Competitor_Loyal,0.75,2.25,1.5,200.0
25,Diya Rattan,462,Krishna Bhatnagar,Switcher,2.95,8.55,5.6,189.83
11,Lajita Chatterjee,731,Chakradev Barad,Switcher,0.8,2.3,1.5,187.5
92,Tanay Toor,320,Manbir Bhakta,Switcher,2.33,6.67,4.33,185.71
40,Yashica Cherian,1483,Rohan Shankar,Competitor_Loyal,0.6,1.7,1.1,183.33
103,Aarush Nath,772,Wahab Saxena,Competitor_Loyal,0.75,2.13,1.38,183.33
93,Kevin Palla,1977,Max Om,Switcher,3.67,10.33,6.67,181.82
5,Viraj Tiwari,1878,Riya Pai,Competitor_Loyal,1.25,3.5,2.25,180.0
93,Kevin Palla,1761,Upasna Setty,Switcher,2.5,7.0,4.5,180.0
98,Hredhaan Dugal,320,Manbir Bhakta,Switcher,3.33,9.33,6.0,180.0
103,Aarush Nath,1442,Oscar Nayak,Switcher,1.0,2.8,1.8,180.0
63,Irya Sampath,265,Nitesh Raval,Switcher,2.8,7.8,5.0,178.57
5,Viraj Tiwari,747,Rayaan Trivedi,Competitor_Loyal,0.8,2.2,1.4,175.0
12,Hemangini Lalla,1151,Hitesh Sant,Competitor_Loyal,2.0,5.5,3.5,175.0
58,Ekavir Varkey,1953,Balvan Randhawa,Competitor_Loyal,1.0,2.75,1.75,175.0
77,Bhavika Sampath,242,Baljiwan Chahal,Competitor_Loyal,1.0,2.75,1.75,175.0
95,Nakul Sarma,13,Ijaya Saraf,Switcher,2.0,5.5,3.5,175.0
98,Hredhaan Dugal,1343,Nakul Walla,Competitor_Loyal,0.67,1.83,1.17,175.0
5,Viraj Tiwari,1184,Ekta Gopal,Competitor_Loyal,1.17,3.17,2.0,171.43
12,Hemangini Lalla,1394,Girik Menon,Switcher,3.5,9.5,6.0,171.43
77,Bhavika Sampath,1980,Aachal Soni,Switcher,2.33,6.33,4.0,171.43
43,Ekiya Suresh,1237,Pushti Ramachandran,Switcher,4.0,10.83,6.83,170.83
36,Advay Contractor,62,Advaith Chaudhari,Competitor_Loyal,1.67,4.5,2.83,170.0
45,Wriddhish Bhardwaj,429,Ayaan Pandey,Competitor_Loyal,1.5,4.0,2.5,166.67
54,Devansh Nigam,1813,Rachit Maharaj,Competitor_Loyal,1.5,4.0,2.5,166.67
58,Ekavir Varkey,1846,Darika Rao,Competitor_Loyal,0.5,1.33,0.83,166.67
76,Madhavi Lanka,211,Vamakshi Barad,Competitor_Loyal,1.5,4.0,2.5,166.67
76,Madhavi Lanka,839,Benjamin Ahluwalia,Switcher,1.5,4.0,2.5,166.67
77,Bhavika Sampath,1545,Anirudh Tripathi,Competitor_Loyal,1.5,4.0,2.5,166.67
80,Dipta Bhandari,1009,Nikita Rama,Competitor_Loyal,1.5,4.0,2.5,166.67
95,Nakul Sarma,1599,Brinda Raju,Switcher,3.0,8.0,5.0,166.67
97,Krish Lalla,1599,Brinda Raju,Switcher,3.0,8.0,5.0,166.67
98,Hredhaan Dugal,778,Riya Dhingra,Competitor_Loyal,1.5,4.0,2.5,166.67
99,Baghyawati Kade,1948,Zinal Tank,Competitor_Loyal,1.5,4.0,2.5,166.67
100,Samar Lalla,318,Tara Tank,Competitor_Loyal,1.5,4.0,2.5,166.67
101,Zayan Behl,1364,Kashvi Dugal,Competitor_Loyal,1.5,4.0,2.5,166.67
111,Irya Ray,312,Quincy Raj,Competitor_Loyal,0.5,1.33,0.83,166.67
7,Saumya Mall,1416,Darpan Narayan,Switcher,2.67,7.0,4.33,162.5
95,Nakul Sarma,784,Jacob Deep,Switcher,4.0,10.5,6.5,162.5
37,Harini Choudhury,366,Yashica Upadhyay,Switcher,3.25,8.5,5.25,161.54
4,Ayushman Chander,670,Lekha Gupta,Switcher,2.5,6.5,4.0,160.0
5,Viraj Tiwari,986,Mitali Majumdar,Switcher,2.5,6.5,4.0,160.0
5,Viraj Tiwari,1165,Naksh Agate,Competitor_Loyal,2.5,6.5,4.0,160.0
6,Rushil Saini,156,Ijaya Rege,Switcher,2.86,7.43,4.57,160.0
111,Irya Ray,645,Vanya Kadakia,Switcher,4.25,11.0,6.75,158.82
58,Ekavir Varkey,655,Oliver Kakar,Switcher,2.38,6.13,3.75,157.89
5,Viraj Tiwari,731,Chakradev Barad,Switcher,0.88,2.25,1.38,157.14
105,Prisha Andra,1442,Oscar Nayak,Switcher,1.75,4.5,2.75,157.14
6,Rushil Saini,370,Dayamai Nori,Switcher,4.33,11.0,6.67,153.85
43,Ekiya Suresh,575,Samar Roy,Switcher,2.17,5.5,3.33,153.85
4,Ayushman Chander,804,Jeet Sidhu,Competitor_Loyal,0.71,1.79,1.07,150.0
10,Gayathri Chaudry,1632,Veda Pai,Switcher,2.0,5.0,3.0,150.0
12,Hemangini Lalla,1632,Veda Pai,Switcher,2.0,5.0,3.0,150.0
37,Harini Choudhury,1483,Rohan Shankar,Competitor_Loyal,1.0,2.5,1.5,150.0
38,Radhika Dugar,1533,Frederick D’Alia,Competitor_Loyal,1.0,2.5,1.5,150.0
39,Aarush Lall,1080,Divya Babu,Competitor_Loyal,1.0,2.5,1.5,150.0
40,Yashica Cherian,1080,Divya Babu,Competitor_Loyal,1.0,2.5,1.5,150.0
59,Arya Sunder,1159,Chasmum Verma,Switcher,1.0,2.5,1.5,150.0
80,Dipta Bhandari,1467,Ishita Bora,Competitor_Loyal,1.0,2.5,1.5,150.0
96,Abhiram Mistry,443,Upadhriti Bhat,Competitor_Loyal,1.0,2.5,1.5,150.0
97,Krish Lalla,1573,Nandini Sachdev,Competitor_Loyal,1.0,2.5,1.5,150.0
100,Samar Lalla,1096,Brinda Sinha,Competitor_Loyal,1.0,2.5,1.5,150.0
101,Zayan Behl,403,Manthan Sethi,Competitor_Loyal,1.0,2.5,1.5,150.0
106,Faqid Dixit,1442,Oscar Nayak,Switcher,2.0,5.0,3.0,150.0
109,Janya Baral,845,Chandresh Mohanty,Competitor_Loyal,0.57,1.43,0.86,150.0
110,Shivansh Krish,702,Isaiah Srinivas,Competitor_Loyal,0.22,0.56,0.33,150.0
90,Diya Bora,354,Jackson Morar,Switcher,3.75,9.25,5.5,146.67
40,Yashica Cherian,1960,Gautami Mane,Switcher,3.8,9.3,5.5,144.74
97,Krish Lalla,597,Praneel Setty,Switcher,3.5,8.5,5.0,142.86
98,Hredhaan Dugal,256,Chatresh Shroff,Switcher,2.83,6.83,4.0,141.18
4,Ayushman Chander,741,Jairaj Balakrishnan,Competitor_Loyal,1.25,3.0,1.75,140.0
38,Radhika Dugar,199,Ganga Sandhu,Switcher,3.33,8.0,4.67,140.0
40,Yashica Cherian,1286,Dev Ganesh,Switcher,5.0,12.0,7.0,140.0
95,Nakul Sarma,184,Siya Shan,Competitor_Loyal,1.0,2.4,1.4,140.0
61,Urvashi Ray,626,Saanvi Nagi,Brand_Loyal,3.0,7.17,4.17,138.89
74,Tanay Rattan,339,Jack Pandey,Competitor_Loyal,1.0,2.39,1.39,138.89
52,Raksha Varughese,1509,Sneha Magar,Competitor_Loyal,1.33,3.17,1.83,137.5
71,Chandresh Zachariah,339,Jack Pandey,Competitor_Loyal,1.0,2.38,1.38,137.5
7,Saumya Mall,1482,Bachittar Kata,Switcher,3.17,7.5,4.33,136.84
114,Gaurangi Sabharwal,506,Bimala Manne,Switcher,2.11,5.0,2.89,136.84
100,Samar Lalla,1086,Rudra Sura,Switcher,5.0,11.83,6.83,136.67
44,Isaac Patil,1408,Ishwar Bajaj,Switcher,5.5,13.0,7.5,136.36
98,Hredhaan Dugal,1599,Brinda Raju,Switcher,2.75,6.5,3.75,136.36
52,Raksha Varughese,1143,Garima Das,Switcher,3.5,8.25,4.75,135.71
6,Rushil Saini,1431,Umang Issac,Competitor_Loyal,1.5,3.5,2.0,133.33
9,Arunima Dugal,727,Kiaan Shetty,Competitor_Loyal,1.5,3.5,2.0,133.33
15,Janaki Handa,1934,David Seshadri,Competitor_Loyal,0.75,1.75,1.0,133.33
34,Devansh Rajan,1557,Ijaya Muni,Switcher,4.5,10.5,6.0,133.33
38,Radhika Dugar,1526,Maya Mistry,Switcher,3.0,7.0,4.0,133.33
39,Aarush Lall,1672,Avni Bali,Competitor_Loyal,1.5,3.5,2.0,133.33
42,Kashvi Edwin,1557,Ijaya Muni,Switcher,4.5,10.5,6.0,133.33
53,Jai Kota,1130,Timothy Chawla,Competitor_Loyal,1.5,3.5,2.0,133.33
93,Kevin Palla,318,Tara Tank,Competitor_Loyal,1.5,3.5,2.0,133.33
95,Nakul Sarma,585,Maanav Gola,Competitor_Loyal,1.5,3.5,2.0,133.33
96,Abhiram Mistry,1647,Hemang Ganesan,Competitor_Loyal,1.5,3.5,2.0,133.33
97,Krish Lalla,1193,Chaitanya Kaur,Competitor_Loyal,0.75,1.75,1.0,133.33
78,Mohammed Gupta,1863,Chatura Gokhale,Switcher,6.5,15.0,8.5,130.77
52,Raksha Varughese,886,Jyoti Iyer,Switcher,3.33,7.67,4.33,130.0
10,Gayathri Chaudry,364,Watika Mangat,Switcher,5.33,12.17,6.83,128.13
93,Kevin Palla,1916,Odika Vohra,Switcher,2.75,6.25,3.5,127.27
48,Kabir Soman,1710,Parth Swaminathan,Switcher,3.17,7.17,4.0,126.32
34,Devansh Rajan,88,Azad Choudhary,Switcher,2.67,6.0,3.33,125.0
34,Devansh Rajan,1301,Viraj Ben,Competitor_Loyal,1.0,2.25,1.25,125.0
44,Isaac Patil,31,Leena Dey,Switcher,4.0,9.0,5.0,125.0
48,Kabir Soman,115,Tanay Sood,Competitor_Loyal,1.33,3.0,1.67,125.0
50,Siddharth Zacharia,1219,Raghav Tailor,Switcher,2.0,4.5,2.5,125.0
52,Raksha Varughese,1219,Raghav Tailor,Switcher,2.0,4.5,2.5,125.0
58,Ekavir Varkey,235,Ganga Keer,Competitor_Loyal,0.8,1.8,1.0,125.0
91,Tara Chaudhry,638,Azad Rama,Switcher,6.0,13.5,7.5,125.0
91,Tara Chaudhry,1364,Kashvi Dugal,Competitor_Loyal,2.0,4.5,2.5,125.0
96,Abhiram Mistry,1676,Samuel Palla,Competitor_Loyal,1.0,2.25,1.25,125.0
108,Joshua Barman,772,Wahab Saxena,Competitor_Loyal,0.67,1.5,0.83,125.0
74,Tanay Rattan,1303,Vedika Seshadri,Switcher,3.63,8.13,4.5,124.14
59,Arya Sunder,104,Hemangini Gade,Switcher,3.29,7.36,4.07,123.91
61,Urvashi Ray,836,Jonathan Basak,Brand_Loyal,2.25,5.0,2.75,122.22
73,Niharika Sunder,1874,Qarin Kant,Switcher,4.5,10.0,5.5,122.22
111,Irya Ray,904,Sanaya Parikh,Switcher,2.25,5.0,2.75,122.22
73,Niharika Sunder,1273,Chakradhar Baral,Competitor_Loyal,1.4,3.1,1.7,121.43
36,Advay Contractor,1518,Dalbir Sachar,Switcher,5.22,11.56,6.33,121.28
40,Yashica Cherian,1518,Dalbir Sachar,Switcher,4.83,10.67,5.83,120.69
25,Diya Rattan,1208,Gaurangi Deol,Switcher,2.5,5.5,3.0,120.0
40,Yashica Cherian,880,George Wason,Competitor_Loyal,1.25,2.75,1.5,120.0
47,Ekapad Walia,766,Oni Kapur,Switcher,2.5,5.5,3.0,120.0
59,Arya Sunder,1828,Leela Thakur,Competitor_Loyal,0.83,1.83,1.0,120.0
79,Teerth Bhardwaj,1750,Arya Lalla,Competitor_Loyal,1.25,2.75,1.5,120.0
91,Tara Chaudhry,1732,Irya Dayal,Switcher,2.5,5.5,3.0,120.0
96,Abhiram Mistry,1364,Kashvi Dugal,Competitor_Loyal,1.25,2.75,1.5,120.0
98,Hredhaan Dugal,1086,Rudra Sura,Switcher,5.0,11.0,6.0,120.0
101,Zayan Behl,1581,Urishilla Bedi,Switcher,5.5,12.0,6.5,118.18
10,Gayathri Chaudry,1690,Bhavna Sarma,Switcher,3.0,6.5,3.5,116.67
58,Ekavir Varkey,398,Hema Garde,Switcher,2.57,5.57,3.0,116.67
95,Nakul Sarma,491,Bhavini Sundaram,Competitor_Loyal,1.0,2.17,1.17,116.67
97,Krish Lalla,1598,Advay Bora,Competitor_Loyal,1.0,2.17,1.17,116.67
115,Amara Dutta,777,Nicholas Chaudry,Competitor_Loyal,0.67,1.44,0.78,116.67
16,Chakradev Kari,775,Yashica Rajagopalan,Competitor_Loyal,1.08,2.33,1.25,115.38
34,Devansh Rajan,985,Tejas Kota,Switcher,3.5,7.5,4.0,114.29
36,Advay Contractor,161,Chavvi Khurana,Switcher,3.5,7.5,4.0,114.29
40,Yashica Cherian,985,Tejas Kota,Switcher,3.5,7.5,4.0,114.29
51,Devika Rastogi,1630,Kamya Date,Switcher,1.75,3.75,2.0,114.29
60,Kevin Solanki,728,Bakhshi Thakkar,Competitor_Loyal,0.88,1.88,1.0,114.29
63,Irya Sampath,137,Devika Dayal,Competitor_Loyal,1.17,2.5,1.33,114.29
98,Hredhaan Dugal,666,Shivani Rajagopalan,Competitor_Loyal,1.75,3.75,2.0,114.29
38,Radhika Dugar,1941,Girik Nair,Switcher,2.75,5.88,3.13,113.64
67,Ranveer Yadav,1332,Qadim Comar,Competitor_Loyal,0.6,1.28,0.68,113.33
78,Mohammed Gupta,1827,Kevin Chopra,Switcher,3.75,8.0,4.25,113.33
116,Lavanya Barad,607,Faris Raman,Switcher,2.5,5.33,2.83,113.33
57,Ekansh Balay,903,Vrinda Lanka,Switcher,4.38,9.31,4.94,112.86
7,Saumya Mall,149,Karan Aurora,Competitor_Loyal,2.0,4.25,2.25,112.5
36,Advay Contractor,513,Neelima Sarna,Competitor_Loyal,1.14,2.43,1.29,112.5
80,Dipta Bhandari,1759,Pooja Kulkarni,Competitor_Loyal,1.0,2.13,1.13,112.5
91,Tara Chaudhry,996,Farhan Bhalla,Competitor_Loyal,1.33,2.83,1.5,112.5
96,Abhiram Mistry,1902,Peter Shah,Competitor_Loyal,1.33,2.83,1.5,112.5
108,Joshua Barman,679,Mohini Soni,Competitor_Loyal,0.89,1.89,1.0,112.5
109,Janya Baral,114,Jai Mahal,Competitor_Loyal,0.8,1.7,0.9,112.5
5,Viraj Tiwari,1388,Hardik Johal,Switcher,3.4,7.2,3.8,111.76
80,Dipta Bhandari,171,Chatresh Bhalla,Switcher,4.25,9.0,4.75,111.76
97,Krish Lalla,1373,Abeer Konda,Competitor_Loyal,0.94,2.0,1.06,111.76
2,Udant Dewan,1184,Ekta Gopal,Competitor_Loyal,1.5,3.17,1.67,111.11
41,Yashica Issac,1466,Harrison Bandi,Switcher,3.0,6.33,3.33,111.11
63,Irya Sampath,480,Laksh Iyer,Switcher,3.6,7.6,4.0,111.11
78,Mohammed Gupta,1643,Krishna Baria,Competitor_Loyal,1.13,2.38,1.25,111.11
5,Viraj Tiwari,269,Aarini Subramaniam,Competitor_Loyal,1.0,2.1,1.1,110.0
50,Siddharth Zacharia,1323,Daniel Panchal,Competitor_Loyal,1.11,2.33,1.22,110.0
44,Isaac Patil,421,Liam Luthra,Switcher,5.25,11.0,5.75,109.52
58,Ekavir Varkey,1614,Laksh Sahota,Switcher,2.2,4.6,2.4,109.09
104,Adweta Edwin,1855,Abhimanyu Gola,Switcher,3.67,7.67,4.0,109.09
40,Yashica Cherian,1186,Ojas Basu,Competitor_Loyal,1.2,2.5,1.3,108.33
70,Faqid Savant,1587,Mason Char,Switcher,3.0,6.25,3.25,108.33
78,Mohammed Gupta,1759,Pooja Kulkarni,Competitor_Loyal,0.86,1.79,0.93,108.33
41,Yashica Issac,1186,Ojas Basu,Competitor_Loyal,1.63,3.38,1.75,107.69
89,Karan Mital,288,Matthew Sekhon,Switcher,7.0,14.5,7.5,107.14
98,Hredhaan Dugal,1103,Dalaja Nath,Switcher,5.38,11.13,5.75,106.98
95,Nakul Sarma,1183,Tarak Venkataraman,Switcher,3.2,6.6,3.4,106.25
6,Rushil Saini,670,Lekha Gupta,Switcher,3.0,6.17,3.17,105.56
100,Samar Lalla,1093,Abdul Tak,Switcher,5.4,11.1,5.7,105.56
58,Ekavir Varkey,435,Samuel Luthra,Switcher,4.75,9.75,5.0,105.26
72,Girik Khalsa,807,Girik Subramaniam,Switcher,4.2,8.6,4.4,104.76
54,Devansh Nigam,1379,Kevin Kara,Switcher,4.33,8.83,4.5,103.85
94,Yash Pingle,1745,Kashvi Gour,Switcher,5.5,11.17,5.67,103.03
12,Hemangini Lalla,18,Raksha Buch,Switcher,3.6,7.3,3.7,102.78
1,Aryan Maharaj,1024,Varenya Ratti,Competitor_Loyal,1.5,3.0,1.5,100.0
1,Aryan Maharaj,1987,Vrinda Khosla,Competitor_Loyal,1.25,2.5,1.25,100.0
2,Udant Dewan,1736,Shravya Savant,Competitor_Loyal,1.67,3.33,1.67,100.0
4,Ayushman Chander,268,Vivaan Roy,Competitor_Loyal,1.33,2.67,1.33,100.0
4,Ayushman Chander,286,Upma Bahl,Competitor_Loyal,1.0,2.0,1.0,100.0
4,Ayushman Chander,1267,Geetika Raghavan,Competitor_Loyal,1.25,2.5,1.25,100.0
5,Viraj Tiwari,1532,Yasti Solanki,Switcher,4.0,8.0,4.0,100.0
6,Rushil Saini,351,Radha Chaudhari,Switcher,3.83,7.67,3.83,100.0
6,Rushil Saini,469,Ethan Buch,Competitor_Loyal,1.33,2.67,1.33,100.0
6,Rushil Saini,596,Nathan Mukhopadhyay,Competitor_Loyal,2.0,4.0,2.0,100.0
7,Saumya Mall,269,Aarini Subramaniam,Competitor_Loyal,0.83,1.67,0.83,100.0
7,Saumya Mall,741,Jairaj Balakrishnan,Competitor_Loyal,1.0,2.0,1.0,100.0
7,Saumya Mall,1838,Harish Hari,Switcher,5.33,10.67,5.33,100.0
9,Arunima Dugal,905,Vritti Sem,Competitor_Loyal,1.5,3.0,1.5,100.0
9,Arunima Dugal,1081,Chaitanya Sarin,Competitor_Loyal,1.5,3.0,1.5,100.0
10,Gayathri Chaudry,49,Charvi Dara,Competitor_Loyal,1.5,3.0,1.5,100.0
10,Gayathri Chaudry,338,Aadhya Andra,Competitor_Loyal,1.5,3.0,1.5,100.0
10,Gayathri Chaudry,1492,Indira Misra,Competitor_Loyal,1.0,2.0,1.0,100.0
11,Lajita Chatterjee,156,Ijaya Rege,Switcher,4.0,8.0,4.0,100.0
11,Lajita Chatterjee,203,Balendra Biswas,Competitor_Loyal,2.0,4.0,2.0,100.0
11,Lajita Chatterjee,1987,Vrinda Khosla,Competitor_Loyal,1.25,2.5,1.25,100.0
12,Hemangini Lalla,710,Pushti Mody,Competitor_Loyal,1.0,2.0,1.0,100.0
12,Hemangini Lalla,1492,Indira Misra,Competitor_Loyal,0.5,1.0,0.5,100.0
20,Isha Kadakia,1934,David Seshadri,Competitor_Loyal,0.7,1.4,0.7,100.0
34,Devansh Rajan,377,Omya Doshi,Competitor_Loyal,0.5,1.0,0.5,100.0
36,Advay Contractor,1136,Anthony Randhawa,Competitor_Loyal,1.5,3.0,1.5,100.0
36,Advay Contractor,1757,Eiravati Manne,Switcher,5.0,10.0,5.0,100.0
36,Advay Contractor,1962,Omaja Morar,Competitor_Loyal,1.0,2.0,1.0,100.0
37,Harini Choudhury,1703,Anvi Wason,Competitor_Loyal,1.75,3.5,1.75,100.0
37,Harini Choudhury,1793,Farhan Sengupta,Switcher,3.75,7.5,3.75,100.0
38,Radhika Dugar,328,Nisha Arora,Competitor_Loyal,1.5,3.0,1.5,100.0
38,Radhika Dugar,675,Arin Chana,Competitor_Loyal,1.5,3.0,1.5,100.0
38,Radhika Dugar,890,Xavier Nanda,Competitor_Loyal,1.0,2.0,1.0,100.0
38,Radhika Dugar,1225,Bhavya Borah,Competitor_Loyal,1.67,3.33,1.67,100.0
39,Aarush Lall,365,Fitan Loyal,Competitor_Loyal,1.0,2.0,1.0,100.0
39,Aarush Lall,393,Tanveer Pandit,Competitor_Loyal,1.5,3.0,1.5,100.0
39,Aarush Lall,1929,Eiravati Nagi,Competitor_Loyal,1.75,3.5,1.75,100.0
