hcp_id,hcp_name,city_name,specialty,loyalty_tier,potential_score,total_visits,active_months,visits_per_month,potential_quartile,visit_quartile,coverage_flag
571,Netra Agrawal,Kolkata,Diabetologist,Competitor_Loyal,99,54,17,3.0,4,4,Appropriately-covered
221,Lila Goyal,Hyderabad,Cardiologist,Competitor_Loyal,99,59,16,3.28,4,4,Appropriately-covered
732,Mekhala Jani,Kolkata,Diabetologist,Brand_Loyal,99,64,18,3.56,4,4,Appropriately-covered
152,Oni Chowdhury,Hyderabad,Diabetologist,Brand_Loyal,99,69,18,3.83,4,4,Appropriately-covered
1331,Banjeet Kanda,Kolkata,Diabetologist,Brand_Loyal,98,45,17,2.5,4,3,Appropriately-covered
228,Chasmum Atwal,Delhi,Diabetologist,Competitor_Loyal,97,42,18,2.33,4,3,Appropriately-covered
610,Turvi Sachdev,Mumbai,Diabetologist,Competitor_Loyal,97,44,18,2.44,4,3,Appropriately-covered
1876,Hemani Dhingra,Bangalore,Cardiologist,Competitor_Loyal,97,50,17,2.78,4,3,Appropriately-covered
1811,Neel Chaudhry,Kolkata,Cardiologist,Competitor_Loyal,97,63,18,3.5,4,4,Appropriately-covered
1123,Avi Ramesh,Delhi,GP,Competitor_Loyal,96,43,17,2.39,4,3,Appropriately-covered
364,Watika Mangat,Delhi,Cardiologist,Switcher,96,46,18,2.56,4,3,Appropriately-covered
1603,Advik Devan,Chennai,Cardiologist,Competitor_Loyal,96,48,17,2.67,4,3,Appropriately-covered
1281,Kashish Sen,Ahmedabad,Cardiologist,Switcher,96,63,18,3.5,4,4,Appropriately-covered
1327,Benjamin Nagar,Mumbai,Diabetologist,Brand_Loyal,95,36,16,2.0,4,2,Appropriately-covered
707,Rachit Sankar,Bangalore,Diabetologist,Brand_Loyal,95,47,16,2.61,4,3,Appropriately-covered
643,Faqid Oak,Bangalore,GP,Brand_Loyal,95,51,18,2.83,4,3,Appropriately-covered
1640,Radha Kapadia,Pune,Cardiologist,Brand_Loyal,95,65,17,3.61,4,4,Appropriately-covered
174,Leela Bhagat,Mumbai,Diabetologist,Competitor_Loyal,94,37,15,2.06,4,2,Appropriately-covered
1326,Gopal Ganesh,Kolkata,GP,Brand_Loyal,94,41,16,2.28,4,3,Appropriately-covered
432,Janani Chada,Mumbai,Diabetologist,Brand_Loyal,94,42,16,2.33,4,3,Appropriately-covered
1979,Indali Kala,Chennai,GP,Brand_Loyal,94,46,18,2.56,4,3,Appropriately-covered
1677,Janya Rattan,Kolkata,Cardiologist,Brand_Loyal,94,48,15,2.67,4,3,Appropriately-covered
706,Ekalinga Rama,Mumbai,Cardiologist,Competitor_Loyal,93,43,17,2.39,4,3,Appropriately-covered
132,Hemal Choudhry,Mumbai,GP,Competitor_Loyal,93,53,17,2.94,4,3,Appropriately-covered
1469,Jacob Balan,Chennai,Cardiologist,Brand_Loyal,93,53,16,2.94,4,4,Appropriately-covered
1300,Kalpit Brar,Ahmedabad,Cardiologist,Switcher,93,54,18,3.0,4,4,Appropriately-covered
761,Ranveer Oak,Mumbai,GP,Brand_Loyal,92,38,17,2.11,4,2,Appropriately-covered
712,Nirja Bains,Kolkata,Cardiologist,Brand_Loyal,92,41,16,2.28,4,2,Appropriately-covered
559,Dhruv Rattan,Delhi,GP,Competitor_Loyal,92,43,15,2.39,4,3,Appropriately-covered
1701,Tejas Wali,Kolkata,GP,Competitor_Loyal,92,46,17,2.56,4,3,Appropriately-covered
1983,Ojasvi Shah,Mumbai,GP,Competitor_Loyal,92,48,17,2.67,4,3,Appropriately-covered
1214,Leena Rattan,Kolkata,GP,Brand_Loyal,92,49,17,2.72,4,3,Appropriately-covered
1772,Kamya Murty,Kolkata,Diabetologist,Brand_Loyal,92,49,16,2.72,4,3,Appropriately-covered
642,Oviya Krishnan,Delhi,Diabetologist,Brand_Loyal,91,39,15,2.17,4,2,Appropriately-covered
1498,Udant Varty,Kolkata,Diabetologist,Brand_Loyal,91,40,17,2.22,4,2,Appropriately-covered
313,Caleb Datta,Kolkata,Diabetologist,Brand_Loyal,91,41,18,2.28,4,2,Appropriately-covered
326,Triveni Pal,Bangalore,Diabetologist,Competitor_Loyal,91,42,17,2.33,4,3,Appropriately-covered
842,Inaya Chaudhari,Kolkata,Diabetologist,Competitor_Loyal,91,43,15,2.39,4,3,Appropriately-covered
1069,Avni Ramaswamy,Bangalore,Diabetologist,Brand_Loyal,91,45,17,2.5,4,3,Appropriately-covered
1554,David Kapadia,Chennai,GP,Competitor_Loyal,91,58,17,3.22,4,4,Appropriately-covered
1109,Chatura Patla,Pune,Diabetologist,Switcher,91,68,18,3.78,4,4,Appropriately-covered
175,Idika Bhattacharyya,Jaipur,Diabetologist,Competitor_Loyal,91,114,18,6.33,4,4,Appropriately-covered
756,Kavya Sankar,Delhi,Cardiologist,Competitor_Loyal,90,38,14,2.11,4,2,Appropriately-covered
617,Sachi Rai,Hyderabad,Cardiologist,Switcher,90,39,16,2.17,4,2,Appropriately-covered
194,Maanav De,Delhi,Cardiologist,Competitor_Loyal,90,45,15,2.5,4,3,Appropriately-covered
101,Nakul Pathak,Kolkata,Cardiologist,Brand_Loyal,90,50,17,2.78,4,3,Appropriately-covered
801,Nihal Taneja,Chennai,Diabetologist,Switcher,90,58,18,3.22,4,4,Appropriately-covered
1255,Hitesh Comar,Pune,Cardiologist,Competitor_Loyal,90,59,18,3.28,4,4,Appropriately-covered
385,Ekiya Khosla,Mumbai,GP,Brand_Loyal,89,37,16,2.06,4,2,Appropriately-covered
934,Urishilla Oza,Kolkata,GP,Brand_Loyal,89,37,15,2.06,4,2,Appropriately-covered
1460,Lipika Ramanathan,Chennai,Diabetologist,Switcher,89,39,17,2.17,4,2,Appropriately-covered
981,Hemangini Kakar,Kolkata,Diabetologist,Brand_Loyal,89,45,18,2.5,4,3,Appropriately-covered
1274,Ekani Mangal,Bangalore,Cardiologist,Brand_Loyal,89,50,16,2.78,4,3,Appropriately-covered
1421,Arin Dass,Patna,Cardiologist,Competitor_Loyal,89,101,18,5.61,4,4,Appropriately-covered
419,Bahadurjit Patla,Delhi,Diabetologist,Competitor_Loyal,88,36,14,2.0,4,2,Appropriately-covered
558,Xiti Chowdhury,Mumbai,Diabetologist,Competitor_Loyal,88,36,16,2.0,4,2,Appropriately-covered
1749,Samuel Devi,Mumbai,GP,Competitor_Loyal,88,36,15,2.0,4,2,Appropriately-covered
400,Nitesh Narang,Bangalore,GP,Brand_Loyal,88,39,15,2.17,4,2,Appropriately-covered
502,Saumya Purohit,Bangalore,GP,Switcher,88,44,17,2.44,4,3,Appropriately-covered
846,Atharv Nagar,Chennai,Cardiologist,Competitor_Loyal,88,45,17,2.5,4,3,Appropriately-covered
1426,Aarav Sankar,Kolkata,Diabetologist,Competitor_Loyal,88,45,17,2.5,4,3,Appropriately-covered
1860,Sanaya Sandhu,Jaipur,GP,Brand_Loyal,88,99,18,5.5,4,4,Appropriately-covered
1001,Anvi Anand,Delhi,Diabetologist,Competitor_Loyal,87,37,17,2.06,4,2,Appropriately-covered
1559,Lakshmi Vohra,Bangalore,Cardiologist,Brand_Loyal,87,39,18,2.17,4,2,Appropriately-covered
1401,Rohan Dhingra,Kolkata,Cardiologist,Switcher,87,40,17,2.22,4,2,Appropriately-covered
1770,Lopa Zachariah,Bangalore,Cardiologist,Switcher,87,41,17,2.28,4,3,Appropriately-covered
928,Charita Puri,Bangalore,Diabetologist,Brand_Loyal,87,42,16,2.33,4,3,Appropriately-covered
1438,Jyoti Narula,Bangalore,Cardiologist,Competitor_Loyal,87,44,17,2.44,4,3,Appropriately-covered
1333,Ethan Bera,Delhi,Cardiologist,Brand_Loyal,87,45,15,2.5,4,3,Appropriately-covered
1406,Aayush Munshi,Kolkata,GP,Switcher,87,48,16,2.67,4,3,Appropriately-covered
1113,Dipta Kalla,Kolkata,Cardiologist,Competitor_Loyal,87,53,18,2.94,4,4,Appropriately-covered
1958,Aadhya Garde,Mumbai,Cardiologist,Competitor_Loyal,86,35,13,1.94,4,2,Appropriately-covered
1236,Abha Zacharia,Kolkata,Diabetologist,Switcher,86,40,15,2.22,4,2,Appropriately-covered
172,Tristan Uppal,Bangalore,Diabetologist,Brand_Loyal,86,43,16,2.39,4,3,Appropriately-covered
1519,Lopa Nayar,Delhi,Cardiologist,Switcher,86,43,16,2.39,4,3,Appropriately-covered
1665,Aadhya Prasad,Delhi,GP,Switcher,86,43,17,2.39,4,3,Appropriately-covered
1781,Ubika Nanda,Mumbai,Diabetologist,Brand_Loyal,86,43,16,2.39,4,3,Appropriately-covered
504,Daksha Baria,Chennai,Diabetologist,Competitor_Loyal,86,47,18,2.61,4,3,Appropriately-covered
1210,Thomas Gour,Kolkata,Diabetologist,Switcher,86,49,18,2.72,4,3,Appropriately-covered
1179,Ekaraj Mallick,Delhi,Cardiologist,Competitor_Loyal,86,56,17,3.11,4,4,Appropriately-covered
176,Dominic Kade,Kolkata,GP,Brand_Loyal,86,65,17,3.61,4,4,Appropriately-covered
763,Bhavani Chacko,Lucknow,Diabetologist,Brand_Loyal,86,86,18,4.78,4,4,Appropriately-covered
94,Harinakshi Kant,Lucknow,Cardiologist,Brand_Loyal,86,93,18,5.17,4,4,Appropriately-covered
490,Rayaan Mangal,Jaipur,GP,Competitor_Loyal,86,102,18,5.67,4,4,Appropriately-covered
160,Pooja Ramanathan,Mumbai,Diabetologist,Brand_Loyal,85,37,16,2.06,4,2,Appropriately-covered
1938,Balhaar Date,Delhi,Diabetologist,Brand_Loyal,85,38,17,2.11,4,2,Appropriately-covered
451,Netra Varkey,Delhi,Diabetologist,Competitor_Loyal,85,40,15,2.22,4,2,Appropriately-covered
1428,Jai Karan,Mumbai,GP,Competitor_Loyal,85,43,14,2.39,4,3,Appropriately-covered
1715,Pavani Contractor,Delhi,Cardiologist,Brand_Loyal,85,44,18,2.44,4,3,Appropriately-covered
1430,Leela Keer,Bangalore,Diabetologist,Switcher,85,45,16,2.5,4,3,Appropriately-covered
1918,Faqid Dhaliwal,Delhi,Cardiologist,Switcher,85,48,17,2.67,4,3,Appropriately-covered
1462,Adya Kothari,Kolkata,GP,Brand_Loyal,85,50,18,2.78,4,3,Appropriately-covered
1638,Advika Cheema,Hyderabad,Cardiologist,Switcher,85,52,18,2.89,4,3,Appropriately-covered
1671,Benjamin Nadig,Ahmedabad,Diabetologist,Switcher,85,79,18,4.39,4,4,Appropriately-covered
1151,Hitesh Sant,Delhi,Cardiologist,Competitor_Loyal,84,34,15,1.89,4,2,Appropriately-covered
910,Diya Sundaram,Mumbai,Diabetologist,Switcher,84,35,17,1.94,4,2,Appropriately-covered
1574,Vinaya Babu,Bangalore,Cardiologist,Switcher,84,35,15,1.94,4,2,Appropriately-covered
283,Guneet Sarkar,Bangalore,GP,Brand_Loyal,84,36,15,2.0,4,2,Appropriately-covered
280,Oni Dubey,Delhi,Cardiologist,Brand_Loyal,84,37,17,2.06,4,2,Appropriately-covered
84,Suhani Chana,Mumbai,Diabetologist,Brand_Loyal,84,39,16,2.17,4,2,Appropriately-covered
855,Ishani Prashad,Bangalore,Diabetologist,Brand_Loyal,84,41,17,2.28,4,3,Appropriately-covered
514,Anthony Majumdar,Mumbai,GP,Switcher,84,42,17,2.33,4,3,Appropriately-covered
1077,Lajita Dube,Bangalore,GP,Switcher,84,42,16,2.33,4,3,Appropriately-covered
1479,Abhimanyu Tara,Mumbai,Diabetologist,Competitor_Loyal,84,45,17,2.5,4,3,Appropriately-covered
1328,Ranveer Viswanathan,Mumbai,Cardiologist,Competitor_Loyal,84,47,17,2.61,4,3,Appropriately-covered
524,Umang Yogi,Chennai,GP,Brand_Loyal,84,49,17,2.72,4,3,Appropriately-covered
1164,Veer Jain,Kolkata,GP,Brand_Loyal,84,50,16,2.78,4,3,Appropriately-covered
1165,Naksh Agate,Delhi,Cardiologist,Competitor_Loyal,84,51,18,2.83,4,3,Appropriately-covered
1201,Aarav Puri,Chennai,Diabetologist,Switcher,84,52,18,2.89,4,3,Appropriately-covered
859,Vrinda Swaminathan,Bangalore,Cardiologist,Brand_Loyal,84,53,18,2.94,4,4,Appropriately-covered
579,Ekavir Kari,Kolkata,Cardiologist,Switcher,84,54,18,3.0,4,4,Appropriately-covered
1730,Ekaraj Zachariah,Pune,Diabetologist,Brand_Loyal,84,54,18,3.0,4,4,Appropriately-covered
961,Mitesh Lala,Ahmedabad,GP,Switcher,84,63,17,3.5,4,4,Appropriately-covered
1753,Hemani Sethi,Ahmedabad,GP,Brand_Loyal,84,68,18,3.78,4,4,Appropriately-covered
991,Ethan Seth,Jaipur,Cardiologist,Switcher,84,113,18,6.28,4,4,Appropriately-covered
330,Dalaja Kaur,Chennai,GP,Competitor_Loyal,83,35,15,1.94,4,2,Appropriately-covered
466,Harita Dugar,Delhi,Cardiologist,Brand_Loyal,83,35,16,1.94,4,2,Appropriately-covered
1252,Dalaja Gara,Mumbai,GP,Brand_Loyal,83,36,14,2.0,4,2,Appropriately-covered
742,Adya Bose,Kolkata,GP,Brand_Loyal,83,40,17,2.22,4,2,Appropriately-covered
715,Jalsa Nadig,Chennai,Diabetologist,Switcher,83,41,18,2.28,4,2,Appropriately-covered
1233,Laksh Saini,Chennai,Cardiologist,Competitor_Loyal,83,41,14,2.28,4,3,Appropriately-covered
625,Gabriel Taneja,Mumbai,GP,Brand_Loyal,83,43,17,2.39,4,3,Appropriately-covered
977,Faris Zacharia,Bangalore,Cardiologist,Switcher,83,46,17,2.56,4,3,Appropriately-covered
1202,Ryan Bahri,Delhi,GP,Switcher,83,55,18,3.06,4,4,Appropriately-covered
1355,Sachi Ganesan,Delhi,Diabetologist,Competitor_Loyal,83,56,18,3.11,4,4,Appropriately-covered
1516,Aditya Contractor,Kolkata,Cardiologist,Competitor_Loyal,83,56,18,3.11,4,4,Appropriately-covered
270,Wakeeta Dixit,Hyderabad,Diabetologist,Switcher,83,60,17,3.33,4,4,Appropriately-covered
1597,Om Dutt,Hyderabad,Diabetologist,Brand_Loyal,83,64,18,3.56,4,4,Appropriately-covered
1661,Nimrat Shankar,Hyderabad,GP,Brand_Loyal,83,68,17,3.78,4,4,Appropriately-covered
1493,Nihal Ramakrishnan,Patna,Cardiologist,Switcher,83,80,18,4.44,4,4,Appropriately-covered
182,Adweta Kale,Chennai,Diabetologist,Switcher,82,35,15,1.94,4,2,Appropriately-covered
44,Mekhala Khatri,Bangalore,GP,Competitor_Loyal,82,39,17,2.17,4,2,Appropriately-covered
195,Rajata Sunder,Delhi,Diabetologist,Brand_Loyal,82,39,17,2.17,4,2,Appropriately-covered
870,Lajita Divan,Bangalore,Diabetologist,Competitor_Loyal,82,39,17,2.17,4,2,Appropriately-covered
110,Devansh Bhasin,Bangalore,Cardiologist,Switcher,82,40,15,2.22,4,2,Appropriately-covered
1612,Faras Mangal,Delhi,GP,Competitor_Loyal,82,40,17,2.22,4,2,Appropriately-covered
41,Ekbal Bhasin,Delhi,GP,Switcher,82,41,17,2.28,4,2,Appropriately-covered
131,Aahana Bawa,Mumbai,Diabetologist,Brand_Loyal,82,42,16,2.33,4,3,Appropriately-covered
1471,Shravya Swaminathan,Bangalore,Cardiologist,Competitor_Loyal,82,42,15,2.33,4,3,Appropriately-covered
656,Shravya Singhal,Delhi,Diabetologist,Competitor_Loyal,82,43,18,2.39,4,3,Appropriately-covered
118,Gabriel Majumdar,Kolkata,Diabetologist,Brand_Loyal,82,44,15,2.44,4,3,Appropriately-covered
120,Lajita Munshi,Mumbai,Diabetologist,Competitor_Loyal,82,44,17,2.44,4,3,Appropriately-covered
404,Zaitra Ghosh,Bangalore,Diabetologist,Competitor_Loyal,82,44,17,2.44,4,3,Appropriately-covered
536,Laban Chad,Mumbai,Cardiologist,Competitor_Loyal,82,44,18,2.44,4,3,Appropriately-covered
1287,Lajita Nadig,Delhi,Cardiologist,Competitor_Loyal,82,45,18,2.5,4,3,Appropriately-covered
628,Ranveer Hans,Mumbai,GP,Competitor_Loyal,82,46,17,2.56,4,3,Appropriately-covered
1515,Nikita Chander,Delhi,Cardiologist,Switcher,82,46,16,2.56,4,3,Appropriately-covered
958,Nisha Chaudhari,Pune,Cardiologist,Competitor_Loyal,82,48,17,2.67,4,3,Appropriately-covered
1719,Bishakha Lal,Chennai,Cardiologist,Competitor_Loyal,82,50,18,2.78,4,3,Appropriately-covered
244,Raksha Saini,Hyderabad,GP,Brand_Loyal,82,55,16,3.06,4,4,Appropriately-covered
327,Daksha Tak,Ahmedabad,Diabetologist,Brand_Loyal,82,55,18,3.06,4,4,Appropriately-covered
1094,Rajeshri Khare,Chennai,Diabetologist,Competitor_Loyal,82,57,18,3.17,4,4,Appropriately-covered
1484,Robert Swaminathan,Ahmedabad,Diabetologist,Switcher,82,57,17,3.17,4,4,Appropriately-covered
259,Warinder Sankaran,Kolkata,Diabetologist,Switcher,82,58,18,3.22,4,4,Appropriately-covered
1392,Tejas Tiwari,Bangalore,Diabetologist,Brand_Loyal,82,59,17,3.28,4,4,Appropriately-covered
881,Upma Bera,Hyderabad,GP,Brand_Loyal,82,68,17,3.78,4,4,Appropriately-covered
1576,Harshil Dhingra,Lucknow,Cardiologist,Competitor_Loyal,82,98,18,5.44,4,4,Appropriately-covered
1856,Caleb Iyengar,Jaipur,Diabetologist,Brand_Loyal,82,100,18,5.56,4,4,Appropriately-covered
1076,Abha Raghavan,Delhi,Diabetologist,Brand_Loyal,81,34,14,1.89,4,2,Appropriately-covered
96,Nimrat Sathe,Mumbai,Cardiologist,Brand_Loyal,81,36,16,2.0,4,2,Appropriately-covered
140,Yatan Venkataraman,Mumbai,GP,Switcher,81,36,14,2.0,4,2,Appropriately-covered
473,Barkha Mukhopadhyay,Chennai,GP,Switcher,81,36,18,2.0,4,2,Appropriately-covered
417,Charan Mani,Delhi,GP,Competitor_Loyal,81,37,14,2.06,4,2,Appropriately-covered
1792,Ubika Tella,Bangalore,Cardiologist,Brand_Loyal,81,37,15,2.06,4,2,Appropriately-covered
1284,Indira Murty,Mumbai,Diabetologist,Competitor_Loyal,81,42,16,2.33,4,3,Appropriately-covered
1838,Harish Hari,Delhi,GP,Switcher,81,45,17,2.5,4,3,Appropriately-covered
673,Naveen Borde,Hyderabad,Diabetologist,Brand_Loyal,81,46,18,2.56,4,3,Appropriately-covered
1667,Damyanti Menon,Chennai,Diabetologist,Competitor_Loyal,81,46,16,2.56,4,3,Appropriately-covered
449,Krish Munshi,Chennai,GP,Competitor_Loyal,81,47,17,2.61,4,3,Appropriately-covered
592,Lakshit Rajagopal,Chennai,Diabetologist,Competitor_Loyal,81,50,17,2.78,4,3,Appropriately-covered
1637,Yug Khosla,Chennai,Cardiologist,Switcher,81,52,18,2.89,4,3,Appropriately-covered
1058,Victor Choudhary,Pune,GP,Brand_Loyal,81,56,17,3.11,4,4,Appropriately-covered
825,Yatan Merchant,Chennai,Cardiologist,Competitor_Loyal,81,63,18,3.5,4,4,Appropriately-covered
949,Siya Mahal,Hyderabad,Cardiologist,Competitor_Loyal,81,65,18,3.61,4,4,Appropriately-covered
1316,Hemangini Roy,Hyderabad,GP,Competitor_Loyal,81,71,17,3.94,4,4,Appropriately-covered
311,Nidhi Bora,Patna,Cardiologist,Switcher,81,88,18,4.89,4,4,Appropriately-covered
838,Rachana Naidu,Delhi,Cardiologist,Brand_Loyal,80,34,16,1.89,4,2,Appropriately-covered
1230,Harish Devan,Bangalore,Cardiologist,Brand_Loyal,80,34,16,1.89,4,2,Appropriately-covered
521,Sanya Apte,Chennai,GP,Brand_Loyal,80,35,16,1.94,4,2,Appropriately-covered
924,Wriddhish Talwar,Chennai,Cardiologist,Brand_Loyal,80,38,16,2.11,4,2,Appropriately-covered
1127,Mitali Modi,Mumbai,Diabetologist,Switcher,80,38,17,2.11,4,2,Appropriately-covered
1223,Darsh Solanki,Mumbai,GP,Brand_Loyal,80,39,15,2.17,4,2,Appropriately-covered
243,Christopher Setty,Bangalore,Diabetologist,Competitor_Loyal,80,40,17,2.22,4,2,Appropriately-covered
1026,Oscar Varkey,Kolkata,GP,Brand_Loyal,80,40,17,2.22,4,2,Appropriately-covered
225,Madhavi Sekhon,Mumbai,Diabetologist,Switcher,80,41,16,2.28,4,2,Appropriately-covered
62,Advaith Chaudhari,Bangalore,Diabetologist,Competitor_Loyal,80,42,15,2.33,4,3,Appropriately-covered
1290,Logan Grover,Chennai,Diabetologist,Switcher,80,43,18,2.39,4,3,Appropriately-covered
1992,Vivaan Lalla,Delhi,GP,Switcher,80,46,17,2.56,4,3,Appropriately-covered
1503,Ishwar Mallick,Delhi,GP,Competitor_Loyal,80,50,18,2.78,4,3,Appropriately-covered
479,Charles Dugal,Delhi,GP,Competitor_Loyal,80,52,18,2.89,4,3,Appropriately-covered
1443,Lakshmi Wagle,Hyderabad,Cardiologist,Brand_Loyal,80,56,17,3.11,4,4,Appropriately-covered
1784,Liam Dada,Ahmedabad,GP,Switcher,80,63,16,3.5,4,4,Appropriately-covered
1888,Yagnesh Sarin,Lucknow,Cardiologist,Switcher,80,85,18,4.72,4,4,Appropriately-covered
926,Rajeshri Chand,Jaipur,Cardiologist,Brand_Loyal,80,121,18,6.72,4,4,Appropriately-covered
1395,Yochana Bawa,Chennai,GP,Brand_Loyal,79,35,14,1.94,4,2,Appropriately-covered
718,Riya Sathe,Delhi,Diabetologist,Competitor_Loyal,79,37,17,2.06,4,2,Appropriately-covered
1144,Alka Peri,Mumbai,GP,Competitor_Loyal,79,37,16,2.06,4,2,Appropriately-covered
